id,name,version,type,created_time
1,Artifact 1,v2.0,binary,2023-10-12 18:24:35.641472
2,Artifact 2,v1.0,docker image,2023-10-31 18:24:35.641472
3,Artifact 3,v5.0,binary,2023-10-10 18:24:35.641472
4,Artifact 4,v4.0,docker image,2023-11-07 18:24:35.641472
5,Artifact 5,v4.0,docker image,2023-12-01 18:24:35.641472
6,Artifact 6,v3.0,docker image,2024-02-17 18:24:35.641472
7,Artifact 7,v2.0,binary,2023-09-11 18:24:35.641472
8,Artifact 8,v9.0,library,2023-06-03 18:24:35.641472
9,Artifact 9,v2.0,binary,2023-09-11 18:24:35.641472
10,Artifact 10,v10.0,docker image,2023-11-16 18:24:35.641472
11,Artifact 11,v7.0,binary,2023-08-31 18:24:35.641472
12,Artifact 12,v1.0,binary,2024-01-07 18:24:35.641472
13,Artifact 13,v1.0,binary,2024-04-10 18:24:35.641472
14,Artifact 14,v2.0,docker image,2023-10-18 18:24:35.641472
15,Artifact 15,v4.0,docker image,2024-04-12 18:24:35.641472
16,Artifact 16,v4.0,binary,2023-10-15 18:24:35.641472
17,Artifact 17,v9.0,binary,2023-07-19 18:24:35.641472
18,Artifact 18,v10.0,binary,2024-02-20 18:24:35.641472
19,Artifact 19,v1.0,library,2023-08-17 18:24:35.641472
20,Artifact 20,v9.0,docker image,2023-12-24 18:24:35.641472
21,Artifact 21,v4.0,library,2023-12-10 18:24:35.641472
22,Artifact 22,v9.0,docker image,2024-03-31 18:24:35.641472
23,Artifact 23,v7.0,binary,2024-04-12 18:24:35.641472
24,Artifact 24,v4.0,library,2023-12-07 18:24:35.641472
25,Artifact 25,v8.0,binary,2023-06-19 18:24:35.641472
26,Artifact 26,v10.0,library,2023-12-23 18:24:35.641472
27,Artifact 27,v5.0,binary,2023-12-18 18:24:35.641472
28,Artifact 28,v1.0,docker image,2023-10-07 18:24:35.641472
29,Artifact 29,v3.0,binary,2023-07-19 18:24:35.641472
30,Artifact 30,v7.0,docker image,2023-10-17 18:24:35.642470
31,Artifact 31,v6.0,binary,2024-02-27 18:24:35.642470
32,Artifact 32,v5.0,binary,2023-06-04 18:24:35.642470
33,Artifact 33,v3.0,docker image,2023-10-08 18:24:35.642470
34,Artifact 34,v4.0,docker image,2023-11-25 18:24:35.642470
35,Artifact 35,v6.0,library,2023-10-07 18:24:35.642470
36,Artifact 36,v2.0,binary,2024-05-01 18:24:35.642470
37,Artifact 37,v2.0,library,2023-11-24 18:24:35.642470
38,Artifact 38,v7.0,library,2023-07-13 18:24:35.642470
39,Artifact 39,v2.0,docker image,2023-10-13 18:24:35.642470
40,Artifact 40,v6.0,docker image,2024-01-03 18:24:35.642470
41,Artifact 41,v6.0,binary,2023-06-30 18:24:35.642470
42,Artifact 42,v10.0,library,2024-04-23 18:24:35.642470
43,Artifact 43,v5.0,binary,2024-04-14 18:24:35.642470
44,Artifact 44,v1.0,library,2023-06-14 18:24:35.642470
45,Artifact 45,v8.0,docker image,2023-07-01 18:24:35.642470
46,Artifact 46,v9.0,binary,2023-10-28 18:24:35.642470
47,Artifact 47,v2.0,library,2023-11-18 18:24:35.642470
48,Artifact 48,v7.0,docker image,2023-09-03 18:24:35.642470
49,Artifact 49,v2.0,library,2023-06-10 18:24:35.642470
50,Artifact 50,v9.0,binary,2024-03-02 18:24:35.642470
51,Artifact 51,v5.0,docker image,2024-05-07 18:24:35.642470
52,Artifact 52,v10.0,library,2024-03-10 18:24:35.642470
53,Artifact 53,v6.0,library,2023-07-16 18:24:35.642470
54,Artifact 54,v10.0,binary,2023-06-10 18:24:35.642470
55,Artifact 55,v4.0,binary,2023-10-11 18:24:35.642470
56,Artifact 56,v2.0,binary,2024-05-05 18:24:35.642470
57,Artifact 57,v1.0,docker image,2024-03-19 18:24:35.642470
58,Artifact 58,v4.0,docker image,2024-04-18 18:24:35.642470
59,Artifact 59,v5.0,binary,2024-01-23 18:24:35.642470
60,Artifact 60,v2.0,docker image,2023-06-27 18:24:35.642470
61,Artifact 61,v4.0,library,2023-11-17 18:24:35.642470
62,Artifact 62,v2.0,binary,2023-11-19 18:24:35.642470
63,Artifact 63,v7.0,docker image,2023-11-08 18:24:35.642470
64,Artifact 64,v5.0,docker image,2023-08-06 18:24:35.642470
65,Artifact 65,v8.0,binary,2024-05-06 18:24:35.642470
66,Artifact 66,v6.0,binary,2023-07-18 18:24:35.642470
67,Artifact 67,v3.0,docker image,2024-03-05 18:24:35.642470
68,Artifact 68,v6.0,docker image,2023-06-10 18:24:35.642470
69,Artifact 69,v6.0,binary,2023-10-05 18:24:35.642470
70,Artifact 70,v4.0,docker image,2023-11-15 18:24:35.642470
71,Artifact 71,v5.0,library,2023-11-14 18:24:35.642470
72,Artifact 72,v2.0,docker image,2023-10-08 18:24:35.642470
73,Artifact 73,v10.0,library,2024-04-13 18:24:35.642470
74,Artifact 74,v3.0,library,2023-08-03 18:24:35.642470
75,Artifact 75,v9.0,docker image,2024-03-13 18:24:35.642470
76,Artifact 76,v4.0,docker image,2023-08-25 18:24:35.642470
77,Artifact 77,v3.0,binary,2023-11-17 18:24:35.642470
78,Artifact 78,v8.0,library,2023-11-01 18:24:35.642470
79,Artifact 79,v7.0,docker image,2023-12-14 18:24:35.642470
80,Artifact 80,v5.0,library,2023-06-25 18:24:35.642470
81,Artifact 81,v9.0,binary,2024-01-01 18:24:35.642470
82,Artifact 82,v4.0,library,2024-01-16 18:24:35.642470
83,Artifact 83,v6.0,docker image,2024-03-25 18:24:35.642470
84,Artifact 84,v1.0,docker image,2024-05-09 18:24:35.642470
85,Artifact 85,v4.0,library,2024-02-17 18:24:35.642470
86,Artifact 86,v1.0,binary,2023-09-10 18:24:35.642470
87,Artifact 87,v6.0,library,2023-08-31 18:24:35.642470
88,Artifact 88,v7.0,docker image,2023-11-06 18:24:35.642470
89,Artifact 89,v5.0,binary,2023-08-09 18:24:35.642470
90,Artifact 90,v2.0,library,2024-03-23 18:24:35.642470
91,Artifact 91,v4.0,library,2024-01-09 18:24:35.642470
92,Artifact 92,v10.0,binary,2024-01-10 18:24:35.642470
93,Artifact 93,v6.0,library,2023-05-28 18:24:35.642470
94,Artifact 94,v4.0,binary,2023-10-07 18:24:35.642470
95,Artifact 95,v8.0,binary,2024-02-03 18:24:35.642470
96,Artifact 96,v7.0,binary,2023-07-14 18:24:35.642470
97,Artifact 97,v8.0,binary,2023-12-28 18:24:35.642470
98,Artifact 98,v3.0,library,2023-06-02 18:24:35.642470
99,Artifact 99,v5.0,library,2023-09-14 18:24:35.642470
100,Artifact 100,v3.0,docker image,2024-02-10 18:24:35.642470
101,Artifact 101,v4.0,binary,2024-03-21 18:24:35.642470
102,Artifact 102,v9.0,docker image,2024-03-14 18:24:35.642470
103,Artifact 103,v9.0,docker image,2024-04-15 18:24:35.642470
104,Artifact 104,v5.0,library,2023-10-04 18:24:35.642470
105,Artifact 105,v10.0,library,2024-02-24 18:24:35.642470
106,Artifact 106,v7.0,library,2023-05-23 18:24:35.642470
107,Artifact 107,v10.0,library,2023-10-08 18:24:35.642470
108,Artifact 108,v7.0,docker image,2024-04-08 18:24:35.642470
109,Artifact 109,v6.0,binary,2023-06-08 18:24:35.642470
110,Artifact 110,v4.0,docker image,2023-12-11 18:24:35.642470
111,Artifact 111,v3.0,docker image,2023-06-16 18:24:35.642470
112,Artifact 112,v9.0,library,2023-11-27 18:24:35.642470
113,Artifact 113,v8.0,binary,2023-05-25 18:24:35.642470
114,Artifact 114,v2.0,docker image,2024-04-19 18:24:35.642470
115,Artifact 115,v1.0,library,2023-08-15 18:24:35.642470
116,Artifact 116,v2.0,library,2023-08-19 18:24:35.642470
117,Artifact 117,v3.0,binary,2023-12-26 18:24:35.642470
118,Artifact 118,v3.0,docker image,2023-12-21 18:24:35.642470
119,Artifact 119,v7.0,binary,2024-03-03 18:24:35.642470
120,Artifact 120,v10.0,binary,2023-05-24 18:24:35.642470
121,Artifact 121,v2.0,binary,2023-05-25 18:24:35.642470
122,Artifact 122,v7.0,docker image,2023-05-30 18:24:35.642470
123,Artifact 123,v7.0,library,2023-07-01 18:24:35.642470
124,Artifact 124,v10.0,binary,2024-02-23 18:24:35.642470
125,Artifact 125,v8.0,binary,2023-11-19 18:24:35.642470
126,Artifact 126,v9.0,docker image,2023-09-05 18:24:35.642470
127,Artifact 127,v5.0,docker image,2024-01-29 18:24:35.642470
128,Artifact 128,v9.0,library,2024-03-21 18:24:35.642470
129,Artifact 129,v1.0,library,2024-02-10 18:24:35.642470
130,Artifact 130,v2.0,binary,2024-03-12 18:24:35.642470
131,Artifact 131,v9.0,binary,2024-01-22 18:24:35.642470
132,Artifact 132,v5.0,docker image,2023-09-13 18:24:35.642470
133,Artifact 133,v6.0,binary,2024-05-09 18:24:35.642470
134,Artifact 134,v2.0,docker image,2023-11-20 18:24:35.642470
135,Artifact 135,v5.0,binary,2023-08-13 18:24:35.642470
136,Artifact 136,v7.0,docker image,2023-08-03 18:24:35.642470
137,Artifact 137,v3.0,binary,2023-11-16 18:24:35.642470
138,Artifact 138,v8.0,binary,2023-09-26 18:24:35.642470
139,Artifact 139,v1.0,binary,2023-08-14 18:24:35.642470
140,Artifact 140,v5.0,library,2024-03-17 18:24:35.642470
141,Artifact 141,v9.0,binary,2023-07-14 18:24:35.642470
142,Artifact 142,v3.0,binary,2024-04-08 18:24:35.642470
143,Artifact 143,v9.0,library,2024-04-19 18:24:35.642470
144,Artifact 144,v2.0,library,2023-12-16 18:24:35.642470
145,Artifact 145,v5.0,binary,2023-11-01 18:24:35.642470
146,Artifact 146,v9.0,docker image,2023-09-20 18:24:35.642470
147,Artifact 147,v10.0,binary,2023-08-27 18:24:35.642470
148,Artifact 148,v4.0,docker image,2023-10-25 18:24:35.642470
149,Artifact 149,v3.0,binary,2023-10-26 18:24:35.642470
150,Artifact 150,v6.0,docker image,2023-08-02 18:24:35.642470
151,Artifact 151,v3.0,binary,2024-04-15 18:24:35.642470
152,Artifact 152,v9.0,library,2024-03-19 18:24:35.642470
153,Artifact 153,v9.0,docker image,2023-12-12 18:24:35.642470
154,Artifact 154,v1.0,binary,2023-06-29 18:24:35.642470
155,Artifact 155,v10.0,binary,2024-04-15 18:24:35.642470
156,Artifact 156,v6.0,library,2023-10-05 18:24:35.642470
157,Artifact 157,v8.0,docker image,2023-09-27 18:24:35.642470
158,Artifact 158,v1.0,docker image,2023-06-09 18:24:35.642470
159,Artifact 159,v2.0,docker image,2023-09-01 18:24:35.642470
160,Artifact 160,v6.0,library,2023-11-28 18:24:35.642470
161,Artifact 161,v5.0,docker image,2024-03-18 18:24:35.642470
162,Artifact 162,v4.0,docker image,2023-08-14 18:24:35.642470
163,Artifact 163,v1.0,binary,2023-06-30 18:24:35.642470
164,Artifact 164,v4.0,binary,2023-07-27 18:24:35.642470
165,Artifact 165,v10.0,library,2024-02-19 18:24:35.642470
166,Artifact 166,v2.0,docker image,2024-03-17 18:24:35.642470
167,Artifact 167,v2.0,binary,2023-10-14 18:24:35.642470
168,Artifact 168,v8.0,library,2023-09-08 18:24:35.642470
169,Artifact 169,v2.0,docker image,2024-04-24 18:24:35.642470
170,Artifact 170,v9.0,library,2024-03-20 18:24:35.642470
171,Artifact 171,v3.0,docker image,2023-08-31 18:24:35.642470
172,Artifact 172,v3.0,binary,2024-03-05 18:24:35.642470
173,Artifact 173,v8.0,docker image,2023-12-19 18:24:35.642470
174,Artifact 174,v9.0,docker image,2024-02-28 18:24:35.642470
175,Artifact 175,v3.0,docker image,2024-03-01 18:24:35.642470
