id,artifact_id,status,start_time,end_time
1,217,failure,2023-06-02 21:46:26.644463,2023-06-02 22:17:26.644463
2,48,success,2024-04-14 08:12:06.644463,2024-04-14 09:10:06.644463
3,184,success,2023-12-13 17:50:23.644463,2023-12-13 18:04:23.644463
4,771,success,2023-05-24 03:54:30.644463,2023-05-24 04:54:30.644463
5,307,failure,2024-02-28 21:52:36.644463,2024-02-28 22:08:36.644463
6,694,success,2023-08-20 06:19:55.644463,2023-08-20 06:44:55.644463
7,810,failure,2023-06-05 15:33:16.644463,2023-06-05 16:06:16.644463
8,55,success,2024-04-02 02:29:45.644463,2024-04-02 02:44:45.644463
9,349,failure,2023-07-17 20:03:35.644463,2023-07-17 20:42:35.644463
10,993,failure,2023-12-07 17:19:52.644463,2023-12-07 18:00:52.644463
11,803,failure,2023-10-05 00:32:51.644463,2023-10-05 00:47:51.644463
12,567,failure,2023-11-12 02:41:12.644463,2023-11-12 02:53:12.644463
13,88,success,2023-07-11 07:39:20.644463,2023-07-11 08:31:20.644463
14,731,success,2024-04-15 15:25:23.644463,2024-04-15 15:43:23.644463
15,390,failure,2023-05-23 19:19:49.644463,2023-05-23 19:29:49.644463
16,325,success,2023-11-20 14:31:50.644463,2023-11-20 14:37:50.644463
17,966,failure,2023-12-17 02:13:03.644463,2023-12-17 02:37:03.644463
18,105,failure,2024-03-16 15:13:53.644463,2024-03-16 15:25:53.644463
19,460,failure,2023-08-10 22:12:45.644463,2023-08-10 22:45:45.644463
20,106,success,2024-05-09 15:08:49.644463,2024-05-09 15:31:49.644463
21,612,failure,2023-07-21 06:35:52.644463,2023-07-21 07:31:52.644463
22,13,success,2023-12-25 03:20:37.644463,2023-12-25 03:45:37.644463
23,743,success,2023-08-10 09:34:19.644463,2023-08-10 10:11:19.644463
24,702,failure,2023-11-10 12:14:19.644463,2023-11-10 12:23:19.644463
25,309,success,2024-01-06 00:27:21.644463,2024-01-06 00:37:21.644463
26,172,failure,2023-10-13 08:21:45.644463,2023-10-13 08:48:45.644463
27,496,success,2024-04-13 05:15:42.644463,2024-04-13 05:32:42.644463
28,739,success,2023-07-07 00:21:30.644463,2023-07-07 01:00:30.644463
29,469,success,2024-03-29 13:28:37.644463,2024-03-29 13:48:37.644463
30,972,failure,2023-11-02 06:18:51.644463,2023-11-02 07:12:51.644463
31,824,failure,2023-12-06 02:22:55.644463,2023-12-06 02:44:55.644463
32,836,failure,2023-06-23 20:46:07.644463,2023-06-23 20:55:07.644463
33,329,failure,2023-07-19 11:05:49.644463,2023-07-19 11:36:49.644463
