id,artifact_id,environment,status,deployed_time
1,834,development,failure,2023-11-18 18:24:35.651440
2,919,production,success,2023-12-17 18:24:35.651440
3,717,production,failure,2023-09-10 18:24:35.651440
4,424,staging,failure,2023-10-25 18:24:35.651440
5,849,staging,failure,2023-08-19 18:24:35.651440
6,117,staging,failure,2024-02-22 18:24:35.651440
7,383,production,success,2024-02-22 18:24:35.651440
8,556,staging,failure,2023-10-12 18:24:35.651440
9,866,production,failure,2023-06-20 18:24:35.651440
10,650,production,success,2023-12-29 18:24:35.651440
11,90,development,success,2024-03-30 18:24:35.651440
12,632,development,failure,2023-10-25 18:24:35.651440
13,768,production,success,2023-07-08 18:24:35.651440
14,649,production,success,2023-10-08 18:24:35.651440
15,684,staging,success,2023-12-26 18:24:35.651440
16,229,production,failure,2023-10-03 18:24:35.651440
17,118,staging,success,2024-02-12 18:24:35.651440
18,360,staging,failure,2023-09-28 18:24:35.651440
19,8,development,failure,2023-11-13 18:24:35.651440
20,275,staging,failure,2023-06-20 18:24:35.651440
21,859,production,success,2023-10-23 18:24:35.651440
22,5,development,success,2023-10-23 18:24:35.651440
23,27,staging,failure,2024-03-05 18:24:35.651440
24,344,production,failure,2024-02-25 18:24:35.651440
25,248,staging,success,2023-08-12 18:24:35.651440
26,632,staging,success,2023-06-28 18:24:35.651440
27,821,staging,success,2023-08-01 18:24:35.651440
28,962,staging,success,2023-07-02 18:24:35.651440
29,413,production,success,2023-12-12 18:24:35.651440
30,448,development,success,2024-01-25 18:24:35.651440
31,517,production,failure,2024-03-23 18:24:35.651440
32,864,staging,success,2023-07-06 18:24:35.651440
33,972,development,success,2023-12-09 18:24:35.651440
34,96,staging,success,2024-05-09 18:24:35.651440
35,644,development,success,2023-07-24 18:24:35.651440
36,633,production,success,2023-05-26 18:24:35.651440
37,586,development,success,2023-11-09 18:24:35.651440
38,465,production,failure,2023-07-03 18:24:35.651440
39,192,production,success,2024-01-21 18:24:35.651440
40,305,production,success,2024-02-13 18:24:35.651440
41,744,staging,success,2023-11-11 18:24:35.651440
42,282,development,success,2024-04-10 18:24:35.651440
43,654,development,success,2023-07-31 18:24:35.651440
44,471,development,success,2023-07-22 18:24:35.651440
45,146,staging,success,2023-12-30 18:24:35.651440
46,96,staging,failure,2024-04-13 18:24:35.651440
47,935,staging,success,2024-02-06 18:24:35.651440
48,503,staging,success,2024-05-11 18:24:35.651440
49,499,development,success,2023-07-07 18:24:35.651440
50,704,staging,failure,2023-10-21 18:24:35.651440
51,649,development,success,2023-10-05 18:24:35.651440
52,306,development,success,2024-05-17 18:24:35.651440
53,121,staging,failure,2023-11-29 18:24:35.651440
54,629,production,success,2023-07-20 18:24:35.651440
55,163,production,failure,2023-08-29 18:24:35.651440
56,949,development,success,2024-03-21 18:24:35.651440
57,549,production,success,2024-05-11 18:24:35.651440
58,222,development,success,2023-11-18 18:24:35.651440
59,31,development,success,2023-12-07 18:24:35.651440
60,86,development,failure,2023-06-03 18:24:35.651440
61,281,development,success,2023-09-19 18:24:35.651440
62,357,production,failure,2023-05-26 18:24:35.651440
63,479,staging,failure,2023-09-12 18:24:35.651440
64,945,staging,success,2024-02-14 18:24:35.651440
65,203,production,failure,2023-06-06 18:24:35.651440
66,985,development,failure,2023-11-03 18:24:35.651440
67,170,production,failure,2024-02-07 18:24:35.651440
68,444,staging,failure,2023-10-07 18:24:35.651440
69,836,production,success,2023-12-11 18:24:35.651440
70,622,staging,success,2023-11-08 18:24:35.651440
71,581,staging,success,2023-11-24 18:24:35.651440
72,461,development,failure,2024-02-27 18:24:35.651440
73,601,staging,failure,2023-10-26 18:24:35.651440
74,408,development,success,2024-05-07 18:24:35.651440
75,829,staging,success,2023-12-09 18:24:35.651440
76,367,development,success,2024-01-18 18:24:35.651440
77,673,staging,success,2023-11-14 18:24:35.651440
78,799,development,success,2023-12-14 18:24:35.651440
79,327,development,failure,2023-06-05 18:24:35.651440
80,219,production,failure,2023-09-27 18:24:35.651440
81,921,production,success,2024-01-24 18:24:35.651440
82,395,production,success,2023-12-29 18:24:35.651440
83,540,development,failure,2024-02-01 18:24:35.651440
84,734,production,success,2023-07-16 18:24:35.651440
85,588,staging,failure,2023-06-27 18:24:35.651440
86,326,development,success,2023-12-11 18:24:35.651440
87,51,staging,success,2023-09-13 18:24:35.651440
88,282,development,success,2023-10-20 18:24:35.651440
89,464,production,failure,2024-02-25 18:24:35.651440
90,606,development,success,2023-11-08 18:24:35.651440
91,292,production,success,2024-05-13 18:24:35.651440
92,934,staging,success,2023-09-29 18:24:35.651440
93,862,development,success,2023-10-29 18:24:35.651440
94,346,development,success,2023-06-27 18:24:35.651440
95,482,staging,failure,2024-04-04 18:24:35.651440
96,282,staging,failure,2023-12-12 18:24:35.651440
97,82,staging,failure,2023-08-12 18:24:35.651440
98,628,staging,failure,2024-04-28 18:24:35.651440
99,714,staging,success,2023-10-03 18:24:35.651440
100,864,production,success,2023-11-13 18:24:35.651440
101,30,development,success,2024-01-29 18:24:35.651440
102,143,staging,failure,2024-03-30 18:24:35.651440
103,232,development,success,2024-02-25 18:24:35.651440
104,742,production,success,2023-11-16 18:24:35.651440
105,957,development,failure,2023-06-05 18:24:35.651440
106,905,development,success,2024-04-30 18:24:35.651440
107,970,development,failure,2023-12-19 18:24:35.651440
108,338,production,failure,2023-06-05 18:24:35.651440
109,277,development,success,2023-05-31 18:24:35.651440
110,598,development,success,2023-09-30 18:24:35.651440
111,327,production,failure,2024-03-08 18:24:35.651440
112,653,production,success,2023-10-07 18:24:35.651440
113,535,development,failure,2023-08-26 18:24:35.651440
114,678,staging,failure,2023-09-15 18:24:35.651440
115,792,development,success,2023-09-18 18:24:35.651440
116,271,production,success,2023-12-23 18:24:35.651440
117,362,development,success,2023-08-11 18:24:35.651440
118,712,development,failure,2024-04-13 18:24:35.651440
119,62,development,success,2024-02-04 18:24:35.651440
120,480,development,failure,2023-11-07 18:24:35.651440
121,108,development,failure,2023-11-30 18:24:35.651440
122,779,production,failure,2023-12-15 18:24:35.651440
123,672,production,success,2024-03-05 18:24:35.651440
124,937,development,failure,2024-03-17 18:24:35.651440
125,395,production,success,2023-10-04 18:24:35.651440
126,799,development,success,2023-10-31 18:24:35.651440
127,285,development,failure,2023-10-19 18:24:35.651440
128,975,production,success,2023-08-01 18:24:35.651440
129,151,development,success,2023-09-29 18:24:35.651440
130,247,staging,success,2024-05-14 18:24:35.651440
131,274,staging,failure,2024-05-08 18:24:35.651440
132,361,development,success,2024-01-08 18:24:35.651440
133,363,development,success,2023-10-15 18:24:35.651440
134,407,staging,failure,2023-09-08 18:24:35.651440
