ingress_rule_id,security_group_id,protocol,port_range,source
1,1,TCP,80,0.0.0.0/0
2,1,TCP,443,0.0.0.0/0
3,2,TCP,8080,10.0.0.0/16
4,3,TCP,3306,10.0.0.0/16
5,3,TCP,5432,10.0.0.0/16
6,4,TCP,22,0.0.0.0/0
7,5,TCP,9090,10.0.0.0/16
8,6,TCP,0-65535,10.0.0.0/16
9,7,TCP,80,0.0.0.0/0
10,7,TCP,443,0.0.0.0/0
11,8,TCP,8080,10.0.0.0/16
12,9,TCP,3306,10.0.0.0/16
13,9,TCP,5432,10.0.0.0/16
14,10,TCP,3389,0.0.0.0/0
15,11,TCP,9090,10.0.0.0/16
16,12,TCP,0-65535,10.0.0.0/16
17,13,TCP,80,0.0.0.0/0
18,13,TCP,443,0.0.0.0/0
19,14,TCP,8080,10.0.0.0/16
20,15,TCP,3306,10.0.0.0/16
21,15,TCP,5432,10.0.0.0/16
22,16,TCP,22,0.0.0.0/0
23,17,TCP,9090,10.0.0.0/16
24,18,TCP,0-65535,10.0.0.0/16
25,19,TCP,80,0.0.0.0/0
26,19,TCP,443,0.0.0.0/0
27,20,TCP,8080,10.0.0.0/16
28,21,TCP,3306,10.0.0.0/16
29,21,TCP,5432,10.0.0.0/16
30,22,TCP,22,10.0.0.0/16
31,23,TCP,9090,10.0.0.0/16
32,24,TCP,0-65535,10.0.0.0/16
