network_interface_id,subnet_id,security_group_id,name
1,1,4,eni-prod-payments-web-001
2,1,1,eni-prod-payments-web-002
3,3,1,eni-prod-payments-web-003
4,1,1,eni-prod-payments-web-004
5,1,1,eni-prod-payments-web-005
6,4,2,eni-prod-payments-app-006
7,2,3,eni-prod-payments-db-007
8,2,3,eni-prod-payments-db-008
9,2,6,eni-prod-payments-svc-009
10,2,3,eni-prod-payments-db-010
11,4,5,eni-prod-payments-mon-011
12,2,5,eni-prod-payments-mon-012
13,2,6,eni-prod-payments-svc-013
14,4,5,eni-prod-payments-mon-014
15,2,6,eni-prod-payments-svc-015
16,4,2,eni-prod-payments-app-016
17,4,3,eni-prod-payments-db-017
18,2,3,eni-prod-payments-db-018
19,2,3,eni-prod-payments-db-019
20,4,5,eni-prod-payments-mon-020
21,4,3,eni-prod-payments-db-021
22,4,3,eni-prod-payments-db-022
23,2,3,eni-prod-payments-db-023
24,2,6,eni-prod-payments-svc-024
25,4,3,eni-prod-payments-db-025
26,2,3,eni-prod-payments-db-026
27,4,6,eni-prod-payments-svc-027
28,2,3,eni-prod-payments-db-028
29,2,6,eni-prod-payments-svc-029
30,4,3,eni-prod-payments-db-030
31,2,3,eni-prod-payments-db-031
32,4,6,eni-prod-payments-svc-032
33,2,3,eni-prod-payments-db-033
34,2,2,eni-prod-payments-app-034
35,2,3,eni-prod-payments-db-035
36,2,6,eni-prod-payments-svc-036
37,4,5,eni-prod-payments-mon-037
38,2,5,eni-prod-payments-mon-038
39,2,5,eni-prod-payments-mon-039
40,2,6,eni-prod-payments-svc-040
41,4,3,eni-prod-payments-db-041
42,4,3,eni-prod-payments-db-042
43,4,3,eni-prod-payments-db-043
44,4,6,eni-prod-payments-svc-044
45,2,5,eni-prod-payments-mon-045
46,2,2,eni-prod-payments-app-046
47,2,2,eni-prod-payments-app-047
48,2,3,eni-prod-payments-db-048
49,4,3,eni-prod-payments-db-049
50,4,3,eni-prod-payments-db-050
51,4,6,eni-prod-payments-svc-051
52,4,6,eni-prod-payments-svc-052
53,2,3,eni-prod-payments-db-053
54,4,2,eni-prod-payments-app-054
55,2,2,eni-prod-payments-app-055
56,2,3,eni-prod-payments-db-056
57,2,5,eni-prod-payments-mon-057
58,2,5,eni-prod-payments-mon-058
59,2,3,eni-prod-payments-db-059
60,2,6,eni-prod-payments-svc-060
61,2,2,eni-prod-payments-app-061
62,4,5,eni-prod-payments-mon-062
63,4,6,eni-prod-payments-svc-063
64,2,2,eni-prod-payments-app-064
65,4,2,eni-prod-payments-app-065
66,2,3,eni-prod-payments-db-066
67,2,6,eni-prod-payments-svc-067
68,4,6,eni-prod-payments-svc-068
69,2,6,eni-prod-payments-svc-069
70,2,2,eni-prod-payments-app-070
71,2,3,eni-prod-payments-db-071
72,4,6,eni-prod-payments-svc-072
73,4,2,eni-prod-payments-app-073
74,4,2,eni-prod-payments-app-074
75,4,6,eni-prod-payments-svc-075
76,4,6,eni-prod-payments-svc-076
77,2,5,eni-prod-payments-mon-077
78,2,2,eni-prod-payments-app-078
79,2,2,eni-prod-payments-app-079
80,2,2,eni-prod-payments-app-080
81,2,2,eni-prod-payments-app-081
82,2,6,eni-prod-payments-svc-082
83,2,2,eni-prod-payments-app-083
84,4,5,eni-prod-payments-mon-084
85,2,5,eni-prod-payments-mon-085
86,4,6,eni-prod-payments-svc-086
87,4,6,eni-prod-payments-svc-087
88,2,2,eni-prod-payments-app-088
89,2,2,eni-prod-payments-app-089
90,4,3,eni-prod-payments-db-090
91,2,3,eni-prod-payments-db-091
92,4,3,eni-prod-payments-db-092
93,4,2,eni-prod-payments-app-093
94,2,3,eni-prod-payments-db-094
95,2,2,eni-prod-payments-app-095
96,4,5,eni-prod-payments-mon-096
97,4,3,eni-prod-payments-db-097
98,4,5,eni-prod-payments-mon-098
99,2,6,eni-prod-payments-svc-099
100,2,2,eni-prod-payments-app-100
101,5,10,eni-prod-platform-web-001
102,5,7,eni-prod-platform-web-102
103,5,7,eni-prod-platform-web-103
104,7,7,eni-prod-platform-web-104
105,6,8,eni-prod-platform-app-105
106,6,11,eni-prod-platform-mon-106
107,8,9,eni-prod-platform-db-107
108,8,11,eni-prod-platform-mon-108
109,8,9,eni-prod-platform-db-109
110,6,11,eni-prod-platform-mon-110
111,6,9,eni-prod-platform-db-111
112,6,12,eni-prod-platform-svc-112
113,6,11,eni-prod-platform-mon-113
114,6,11,eni-prod-platform-mon-114
115,6,12,eni-prod-platform-svc-115
116,8,9,eni-prod-platform-db-116
117,8,11,eni-prod-platform-mon-117
118,6,9,eni-prod-platform-db-118
119,6,12,eni-prod-platform-svc-119
120,8,8,eni-prod-platform-app-120
121,8,12,eni-prod-platform-svc-121
122,6,8,eni-prod-platform-app-122
123,6,11,eni-prod-platform-mon-123
124,6,12,eni-prod-platform-svc-124
125,8,12,eni-prod-platform-svc-125
126,8,9,eni-prod-platform-db-126
127,6,12,eni-prod-platform-svc-127
128,6,11,eni-prod-platform-mon-128
129,6,11,eni-prod-platform-mon-129
130,6,11,eni-prod-platform-mon-130
131,8,11,eni-prod-platform-mon-131
132,8,9,eni-prod-platform-db-132
133,8,12,eni-prod-platform-svc-133
134,8,12,eni-prod-platform-svc-134
135,8,11,eni-prod-platform-mon-135
136,8,11,eni-prod-platform-mon-136
137,8,12,eni-prod-platform-svc-137
138,8,9,eni-prod-platform-db-138
139,8,11,eni-prod-platform-mon-139
140,6,11,eni-prod-platform-mon-140
141,6,9,eni-prod-platform-db-141
142,6,9,eni-prod-platform-db-142
143,6,12,eni-prod-platform-svc-143
144,6,12,eni-prod-platform-svc-144
145,8,9,eni-prod-platform-db-145
146,6,8,eni-prod-platform-app-146
147,6,9,eni-prod-platform-db-147
148,6,9,eni-prod-platform-db-148
149,8,9,eni-prod-platform-db-149
150,8,12,eni-prod-platform-svc-150
151,9,16,eni-staging-billing-api-001
152,11,13,eni-staging-billing-web-152
153,11,13,eni-staging-billing-web-153
154,12,15,eni-staging-billing-db-154
155,12,15,eni-staging-billing-db-155
156,12,14,eni-staging-billing-app-156
157,10,17,eni-staging-billing-mon-157
158,12,14,eni-staging-billing-app-158
159,10,15,eni-staging-billing-db-159
160,10,15,eni-staging-billing-db-160
161,12,18,eni-staging-billing-svc-161
162,12,18,eni-staging-billing-svc-162
163,10,18,eni-staging-billing-svc-163
164,10,18,eni-staging-billing-svc-164
165,10,17,eni-staging-billing-mon-165
166,12,18,eni-staging-billing-svc-166
167,12,15,eni-staging-billing-db-167
168,12,18,eni-staging-billing-svc-168
169,12,17,eni-staging-billing-mon-169
170,10,18,eni-staging-billing-svc-170
171,10,18,eni-staging-billing-svc-171
172,10,18,eni-staging-billing-svc-172
173,12,15,eni-staging-billing-db-173
174,12,18,eni-staging-billing-svc-174
175,10,18,eni-staging-billing-svc-175
176,12,18,eni-staging-billing-svc-176
177,12,17,eni-staging-billing-mon-177
178,12,14,eni-staging-billing-app-178
179,12,15,eni-staging-billing-db-179
