resource_id,name,type,sensitivity
1,s3-customer-pii-prod,s3_bucket,pii
2,secret-jwt-signing-key,secrets_manager,secret
3,rds-customers-prod,rds_instance,pii
4,s3-payments-events-prod,s3_bucket,pii
5,s3-billing-invoices-prod,s3_bucket,pii
6,rds-billing-prod,rds_instance,pii
7,dynamodb-payment-tokens,dynamodb_table,pii
8,rds-customer-orders-prod,rds_instance,pii
9,secret-stripe-api-key,secrets_manager,secret
10,secret-db-master-password,secrets_manager,secret
11,secret-okta-saml-cert,secrets_manager,secret
12,kms-payments-encryption-key,kms_key,secret
13,kms-customer-pii-key,kms_key,secret
14,kms-billing-encryption-key,kms_key,secret
15,rds-payments-ledger-prod,rds_instance,secret
16,s3-payments-backups-prod,s3_bucket,secret
17,s3-platform-logs-prod,s3_bucket,internal
18,s3-analytics-warehouse,s3_bucket,internal
19,s3-platform-artifacts,s3_bucket,internal
20,s3-billing-reports,s3_bucket,internal
21,rds-analytics-warehouse,rds_instance,internal
22,rds-platform-metadata,rds_instance,internal
23,dynamodb-user-sessions,dynamodb_table,internal
24,dynamodb-feature-flags,dynamodb_table,internal
25,dynamodb-rate-limits,dynamodb_table,internal
26,lambda-payments-processor,lambda_function,internal
27,lambda-billing-aggregator,lambda_function,internal
28,lambda-platform-cron,lambda_function,internal
29,lambda-analytics-etl,lambda_function,internal
30,lambda-notifications,lambda_function,internal
31,ec2-volume-platform-build-001,ec2_volume,internal
32,ec2-volume-platform-build-002,ec2_volume,internal
33,ec2-volume-billing-cache,ec2_volume,internal
34,ecr-platform-services,ecr_repository,internal
35,ecr-payments-services,ecr_repository,internal
36,ecr-billing-services,ecr_repository,internal
37,sns-payments-events,sns_topic,internal
38,sns-billing-events,sns_topic,internal
39,sns-platform-alerts,sns_topic,internal
42,s3-marketing-public-assets,s3_bucket,public
43,s3-docs-public-static,s3_bucket,public
44,lambda-public-webhook,lambda_function,public
45,ecr-public-images,ecr_repository,public
46,sns-public-status-updates,sns_topic,public
47,ec2-volume-payments-cache,ec2_volume,internal
48,dynamodb-payments-events,dynamodb_table,internal
49,rds-staging-scratch,rds_instance,internal
50,s3-dev-scratch,s3_bucket,internal
