security_group_id,name
1,sg-prod-payments-web
2,sg-prod-payments-app
3,sg-prod-payments-db
4,sg-prod-payments-mgmt
5,sg-prod-payments-monitoring
6,sg-prod-payments-internal
7,sg-prod-platform-web
8,sg-prod-platform-app
9,sg-prod-platform-db
10,sg-prod-platform-mgmt
11,sg-prod-platform-monitoring
12,sg-prod-platform-internal
13,sg-staging-billing-web
14,sg-staging-billing-app
15,sg-staging-billing-db
16,sg-staging-billing-mgmt
17,sg-staging-billing-monitoring
18,sg-staging-billing-internal
19,sg-dev-sandbox-web
20,sg-dev-sandbox-app
21,sg-dev-sandbox-db
22,sg-dev-sandbox-mgmt
23,sg-dev-sandbox-monitoring
24,sg-dev-sandbox-internal
