user_id,role_id,granted_at
1,2,2024-04-27 00:49:20
1,6,2024-11-03 01:37:36
2,2,2024-09-06 18:47:12
2,11,2025-11-24 05:59:02
3,3,2024-12-04 20:23:00
4,8,2024-08-25 14:44:50
5,3,2025-10-17 23:55:54
6,1,2025-09-20 07:11:03
7,7,2025-02-02 00:09:43
8,4,2024-03-05 21:01:14
8,5,2024-04-14 19:32:51
9,6,2024-07-20 16:39:32
10,11,2025-05-16 19:12:48
11,6,2025-09-17 14:17:31
11,7,2024-12-22 12:48:55
11,10,2025-08-24 04:09:32
12,3,2025-09-21 21:29:14
12,10,2025-11-20 10:49:46
13,3,2024-11-16 04:17:28
14,2,2024-07-06 13:35:29
15,7,2024-05-21 20:55:40
15,9,2025-03-04 21:42:54
16,3,2025-05-13 23:08:16
17,11,2024-06-26 20:12:13
18,5,2024-05-23 06:48:43
19,8,2025-09-26 01:57:06
20,1,2024-05-19 07:06:15
20,8,2025-01-28 20:26:47
21,8,2025-02-22 17:54:11
22,14,2025-03-30 17:47:34
23,10,2024-02-01 08:01:45
24,5,2024-08-18 19:34:25
25,13,2025-04-13 20:35:40
26,8,2024-04-25 20:51:06
26,13,2025-07-16 18:35:52
27,13,2025-07-10 13:21:25
28,13,2024-02-12 16:04:10
29,7,2024-04-14 23:47:58
30,1,2024-12-22 03:10:01
30,5,2025-04-05 09:34:07
31,2,2024-08-30 07:38:29
32,10,2024-12-25 22:13:08
32,12,2025-10-09 15:35:20
33,3,2024-07-30 07:32:04
34,6,2025-09-03 19:36:57
34,10,2025-06-29 10:14:02
35,12,2024-10-26 10:32:03
36,14,2025-06-10 03:28:01
37,13,2025-02-25 02:09:30
38,3,2025-11-23 14:17:52
38,4,2025-05-16 05:10:34
38,12,2024-11-25 09:00:47
38,13,2025-08-14 23:01:30
39,7,2025-01-19 16:27:23
40,13,2024-04-05 14:40:02
41,5,2025-01-12 16:33:17
42,1,2024-03-05 19:27:28
42,6,2024-04-05 16:41:29
42,10,2025-10-12 13:02:32
43,7,2024-08-04 18:00:43
44,14,2024-10-17 12:17:50
45,3,2025-08-02 17:40:14
46,11,2024-02-19 01:40:21
46,13,2024-04-11 22:47:54
47,1,2025-03-27 16:37:16
47,8,2024-05-07 05:45:07
48,7,2024-07-26 04:48:10
49,3,2025-11-01 13:07:22
49,5,2024-10-07 03:23:54
50,6,2025-11-11 23:37:34
51,7,2025-10-02 11:07:23
52,4,2024-04-03 03:27:55
52,13,2025-03-15 23:51:55
53,8,2024-03-20 04:49:53
54,9,2025-11-27 16:12:15
55,12,2024-12-17 04:23:26
56,2,2024-11-02 04:59:33
56,3,2024-04-14 03:45:26
