vm_instance_id,network_interface_id,role_id,name
1,1,2,vm-prod-payments-web-001
2,2,1,vm-prod-payments-web-002
3,3,1,vm-prod-payments-web-003
4,4,1,vm-prod-payments-web-004
5,5,1,vm-prod-payments-web-005
6,6,2,vm-prod-payments-app-006
7,7,3,vm-prod-payments-db-007
8,8,2,vm-prod-payments-db-008
9,9,1,vm-prod-payments-svc-009
10,10,2,vm-prod-payments-db-010
11,11,1,vm-prod-payments-mon-011
12,12,1,vm-prod-payments-mon-012
13,13,2,vm-prod-payments-svc-013
14,14,1,vm-prod-payments-mon-014
15,15,2,vm-prod-payments-svc-015
16,16,1,vm-prod-payments-app-016
17,17,3,vm-prod-payments-db-017
18,18,2,vm-prod-payments-db-018
19,19,3,vm-prod-payments-db-019
20,20,1,vm-prod-payments-mon-020
21,21,2,vm-prod-payments-db-021
22,22,2,vm-prod-payments-db-022
23,23,3,vm-prod-payments-db-023
24,24,1,vm-prod-payments-svc-024
25,25,2,vm-prod-payments-db-025
26,26,3,vm-prod-payments-db-026
27,27,1,vm-prod-payments-svc-027
28,28,2,vm-prod-payments-db-028
29,29,1,vm-prod-payments-svc-029
30,30,2,vm-prod-payments-db-030
31,31,2,vm-prod-payments-db-031
32,32,1,vm-prod-payments-svc-032
33,33,2,vm-prod-payments-db-033
34,34,2,vm-prod-payments-app-034
35,35,2,vm-prod-payments-db-035
36,36,1,vm-prod-payments-svc-036
37,37,1,vm-prod-payments-mon-037
38,38,1,vm-prod-payments-mon-038
39,39,1,vm-prod-payments-mon-039
40,40,2,vm-prod-payments-svc-040
41,41,3,vm-prod-payments-db-041
42,42,3,vm-prod-payments-db-042
43,43,3,vm-prod-payments-db-043
44,44,2,vm-prod-payments-svc-044
45,45,1,vm-prod-payments-mon-045
46,46,2,vm-prod-payments-app-046
47,47,1,vm-prod-payments-app-047
48,48,3,vm-prod-payments-db-048
49,49,2,vm-prod-payments-db-049
50,50,3,vm-prod-payments-db-050
51,51,1,vm-prod-payments-svc-051
52,52,2,vm-prod-payments-svc-052
53,53,3,vm-prod-payments-db-053
54,54,2,vm-prod-payments-app-054
55,55,2,vm-prod-payments-app-055
56,56,3,vm-prod-payments-db-056
57,57,1,vm-prod-payments-mon-057
58,58,1,vm-prod-payments-mon-058
59,59,2,vm-prod-payments-db-059
60,60,1,vm-prod-payments-svc-060
61,61,2,vm-prod-payments-app-061
62,62,1,vm-prod-payments-mon-062
63,63,2,vm-prod-payments-svc-063
64,64,1,vm-prod-payments-app-064
65,65,2,vm-prod-payments-app-065
66,66,2,vm-prod-payments-db-066
67,67,2,vm-prod-payments-svc-067
68,68,2,vm-prod-payments-svc-068
69,69,2,vm-prod-payments-svc-069
70,70,2,vm-prod-payments-app-070
71,71,2,vm-prod-payments-db-071
72,72,2,vm-prod-payments-svc-072
73,73,2,vm-prod-payments-app-073
74,74,1,vm-prod-payments-app-074
75,75,1,vm-prod-payments-svc-075
76,76,2,vm-prod-payments-svc-076
77,77,1,vm-prod-payments-mon-077
78,78,1,vm-prod-payments-app-078
79,79,1,vm-prod-payments-app-079
80,80,2,vm-prod-payments-app-080
81,81,2,vm-prod-payments-app-081
82,82,2,vm-prod-payments-svc-082
83,83,2,vm-prod-payments-app-083
84,84,1,vm-prod-payments-mon-084
85,85,1,vm-prod-payments-mon-085
86,86,2,vm-prod-payments-svc-086
87,87,1,vm-prod-payments-svc-087
88,88,1,vm-prod-payments-app-088
89,89,2,vm-prod-payments-app-089
90,90,2,vm-prod-payments-db-090
91,91,2,vm-prod-payments-db-091
92,92,2,vm-prod-payments-db-092
93,93,1,vm-prod-payments-app-093
94,94,2,vm-prod-payments-db-094
95,95,2,vm-prod-payments-app-095
96,96,1,vm-prod-payments-mon-096
97,97,2,vm-prod-payments-db-097
98,98,1,vm-prod-payments-mon-098
99,99,1,vm-prod-payments-svc-099
100,100,1,vm-prod-payments-app-100
101,101,5,vm-prod-platform-web-001
102,102,6,vm-prod-platform-web-102
103,103,6,vm-prod-platform-web-103
104,104,5,vm-prod-platform-web-104
105,105,6,vm-prod-platform-app-105
106,106,5,vm-prod-platform-mon-106
107,107,6,vm-prod-platform-db-107
108,108,5,vm-prod-platform-mon-108
109,109,6,vm-prod-platform-db-109
110,110,5,vm-prod-platform-mon-110
111,111,6,vm-prod-platform-db-111
112,112,6,vm-prod-platform-svc-112
113,113,5,vm-prod-platform-mon-113
114,114,5,vm-prod-platform-mon-114
115,115,6,vm-prod-platform-svc-115
116,116,6,vm-prod-platform-db-116
117,117,5,vm-prod-platform-mon-117
118,118,6,vm-prod-platform-db-118
119,119,5,vm-prod-platform-svc-119
120,120,5,vm-prod-platform-app-120
121,121,5,vm-prod-platform-svc-121
122,122,5,vm-prod-platform-app-122
123,123,5,vm-prod-platform-mon-123
124,124,5,vm-prod-platform-svc-124
