id,region,title,instance_id,status,severity,first_observed_at,last_observed_at,description,finding_type,inspector_score,cvss_score,vulnerability_id
arn:aws:inspector:eu-north-1:266480780430:finding/c81bb715fefd4ea09500fa33a28b908c,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-2e44cd1ccc2c4ba2,i-2e44cd1ccc2c4ba2,RESOLVED,CRITICAL,2025-01-09T12:35:00Z,2025-01-09T12:35:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-2e44cd1ccc2c4ba2. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,96.04,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/30aae39d8c3a49bb8d518db7c6fbb501,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-15c8c29ec8d54f1c,i-15c8c29ec8d54f1c,RESOLVED,CRITICAL,2025-05-04T18:22:00Z,2025-05-04T18:22:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-15c8c29ec8d54f1c. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.27,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/50ec3281b7d7485c8946db2ff9aac871,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-0e3ea1d00f524f61,i-0e3ea1d00f524f61,ACTIVE,CRITICAL,2025-05-22T02:56:00Z,2025-05-22T02:56:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-0e3ea1d00f524f61. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,99.42,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/d7761d8ef3e640eba24fc05dd62c4dca,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-7db89c5e32cd47de,i-7db89c5e32cd47de,RESOLVED,CRITICAL,2025-01-09T11:00:00Z,2025-01-09T11:00:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-7db89c5e32cd47de. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.38,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/1d28cb05b6b24be5b321ec8ad89797cd,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-543f32e01e2a4cdd,i-543f32e01e2a4cdd,ACTIVE,CRITICAL,2025-01-13T21:55:00Z,2025-01-13T21:55:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-543f32e01e2a4cdd. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,98.5,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/93fb79a3dd264c3e8d6735fccfca3398,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-31151966eeea4865,i-31151966eeea4865,RESOLVED,CRITICAL,2025-01-18T04:10:00Z,2025-01-18T04:10:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-31151966eeea4865. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,96.89,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/6beebf8a9de4459c8dfff4a37ba3ec95,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-26c89efb795f40e6,i-26c89efb795f40e6,ACTIVE,CRITICAL,2025-05-20T23:35:00Z,2025-05-20T23:35:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-26c89efb795f40e6. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,95.52,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/ab07268d80fa437e82c093bb0b5f6a27,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-de2897c38f6d4842,i-de2897c38f6d4842,ACTIVE,CRITICAL,2025-05-11T16:57:00Z,2025-05-11T16:57:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-de2897c38f6d4842. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,95.37,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/70497157cf6841a28896a5ae5bd81ce2,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-d2fb6fc31da64428,i-d2fb6fc31da64428,RESOLVED,CRITICAL,2025-06-26T23:24:00Z,2025-06-26T23:24:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-d2fb6fc31da64428. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,99.71,10.0,CVE-2021-44228
arn:aws:inspector:eu-north-1:266480780430:finding/89390cec0b284d7ca874528af951d15f,eu-north-1,Apache Log4j Remote Code Execution Vulnerability - i-1bd8153f1cbe4197,i-1bd8153f1cbe4197,ACTIVE,CRITICAL,2025-01-21T07:07:00Z,2025-01-21T07:07:00Z,Apache Log4j vulnerability CVE-2021-44228 detected on instance i-1bd8153f1cbe4197. This vulnerability allows remote code execution via JNDI injection in log messages.,PACKAGE_VULNERABILITY,97.49,10.0,CVE-2021-44228
