instance_id,interface_id
i-61010827ec8c4d28,eni-8773743052844d29
i-61010827ec8c4d28,eni-b485738333dd4584
i-61010827ec8c4d28,eni-d02c2dcfaa4e4c6a
i-0e489cb13bb44012,eni-5c31945cb6ce4063
i-0e489cb13bb44012,eni-dd9dee50ea1745c0
i-0e489cb13bb44012,eni-a3f2d24ce8a64510
i-58219f9a51f24821,eni-854178efba6946c6
i-51e4e14cec224ae5,eni-ffa1b0a161fd45df
i-51e4e14cec224ae5,eni-abab027c8a204578
i-d3dddd5658754a71,eni-6f52ff4482854792
i-d3dddd5658754a71,eni-3d49a59c93ed4303
i-8bf7d94c153c4824,eni-8df46f41422c4c85
i-8bf7d94c153c4824,eni-f7186629d3684999
i-10b36f6150e14401,eni-85190444fc7e4c0c
i-10b36f6150e14401,eni-c3298ecf93984192
i-10b36f6150e14401,eni-bcd4f302fcc14274
i-bb7470b09ecc49b3,eni-499dc13f81ab4d07
i-bb7470b09ecc49b3,eni-1b4fd0b71dad4136
i-c65a27f5a7114509,eni-200075a6bd1e4feb
i-c00424d2e8584725,eni-613030db3eb5442c
i-c00424d2e8584725,eni-e8b9e1bcd3e04e2f
i-c00424d2e8584725,eni-7345d34fc63a43db
i-47bd96fd569441e0,eni-16b0fa4a60ec4bb5
i-eeb128347fe240ab,eni-880616a22890412c
i-eeb128347fe240ab,eni-860c134fd04c460d
i-eeb128347fe240ab,eni-5b64d8d6de6c4832
i-d691a71a62e941d0,eni-c0a19ce9c8f94fc7
i-d691a71a62e941d0,eni-f8222ce39c724151
i-d691a71a62e941d0,eni-702638b17c4b452b
i-86229f1e8bf84cbd,eni-8cdb8a253e07482d
i-86229f1e8bf84cbd,eni-c83d230cdbcf4db7
i-86229f1e8bf84cbd,eni-9472914a4ed24017
i-a24254befbb64509,eni-99d5b71207b74674
i-a24254befbb64509,eni-309e456df421459d
i-a24254befbb64509,eni-d38940bdff9d4f52
i-89f5d31d75864507,eni-931614c42fb84978
i-89f5d31d75864507,eni-fe27b3c05d8a45e5
i-89f5d31d75864507,eni-46ca97fd47cf456c
i-c676d1f744f145ab,eni-c8e8ce5cbc164ece
i-c676d1f744f145ab,eni-3b386b80084a410a
i-c5d4cec70b1e4d31,eni-0e392649a9cd4c57
i-c5d4cec70b1e4d31,eni-ff6b31ef443f4e39
i-c5d4cec70b1e4d31,eni-67d7b86e7dcc436f
i-24d408cc13c24bc1,eni-a84ed1f11eca4c68
i-551985688fbc444c,eni-361d8ebeb8214d33
i-22e1c2b25e1341c8,eni-f456fb6048bf42bf
i-f1484132b0b54dad,eni-32ff1291d67440cb
i-49f81801aa974f4f,eni-6115d3b4370b4b97
i-0b10cfd5a6c143c5,eni-dd79772daedc4f32
i-0b10cfd5a6c143c5,eni-9c1f41685e354843
i-0b10cfd5a6c143c5,eni-b97f82316f634ef9
i-d1885b739cb94cec,eni-c5ccb6e68c58456e
i-7a6e8763f0214633,eni-785040a700794835
i-acb4350cd77945df,eni-14e3ba3f225f4fb2
i-acb4350cd77945df,eni-16e847f0633d4992
i-d2f0b46d8ea04cba,eni-9a6db96a6bc14628
i-d2f0b46d8ea04cba,eni-1ee413e48acb4485
i-d2f0b46d8ea04cba,eni-f361d4c5cb2b43e5
i-2b589ee0dc484869,eni-ef625d2210df4e2d
i-2b589ee0dc484869,eni-04988a0501254229
i-b00edd31964745dc,eni-a58b56f8c20e4b7d
i-0f76e8aa0c154173,eni-e14dc5b3ab454fd3
i-0f76e8aa0c154173,eni-ac6d2bc47547445a
i-01867a982e3849dc,eni-8f383da8d8454799
i-01867a982e3849dc,eni-5655dd954a5243c2
i-67d693515aeb4c20,eni-f3865c6152714ec8
i-8a61417824c94a2a,eni-cfb91d7777494b88
i-8a61417824c94a2a,eni-9a0f1ffe27dc4005
i-5affe2699ad74fb1,eni-19ec4384ed024980
i-5affe2699ad74fb1,eni-65fe89fbba3d4697
i-2255e989da52496b,eni-5eb9ec1edd124b97
i-2255e989da52496b,eni-140acca269674006
i-e2525182407a4e9c,eni-ce73afa56ec04bda
i-e2525182407a4e9c,eni-b7f62ff1ab1840f6
i-e2525182407a4e9c,eni-d4b927ac0dbe4538
i-17636414919f4d85,eni-92e732a973044704
i-3ee4df7fd536499b,eni-13b00d2a7cc74680
i-97b9c469ba084c7d,eni-f2fbb4b5dbcf4ba6
i-97b9c469ba084c7d,eni-4ee35952f22947df
i-97b9c469ba084c7d,eni-e6ec06611d194008
i-e48d753d78c44dad,eni-1dfc2dc417364dc6
i-e48d753d78c44dad,eni-e3967b59fdf54bfc
i-e48d753d78c44dad,eni-15c3030e936145d0
i-2dc78ec5c00940c2,eni-aa6b45a04e5148e9
i-835eac58a2c645b3,eni-abf3126f12d5451e
i-835eac58a2c645b3,eni-1c97755175754b5f
