id,imageid,instancetype,iaminstanceprofile,launchtime,launchtimeunix,monitoringstate,state,availabilityzone,tenancy,architecture,ebsoptimized,bootmode,instancelifecycle,hibernationoptions
i-61010827ec8c4d28,ami-b972d45b,c4.large,arn:aws:iam::266480780430:instance-profile/4d5f57e7,2024-02-17T02:23:00Z,1679451322,enabled,stopped,eu-north-1b,default,x86_64,False,legacy-bios,,True
i-0e489cb13bb44012,ami-c60c2ef5,t2.micro,arn:aws:iam::266480780430:instance-profile/5a4de575,2024-09-24T21:53:00Z,1670611274,disabling,terminated,eu-north-1a,dedicated,arm64,True,legacy-bios,spot,True
i-58219f9a51f24821,ami-cb114398,r4.large,arn:aws:iam::266480780430:instance-profile/a2d6f613,2024-10-19T19:44:00Z,1680775040,pending,terminated,eu-north-1a,host,x86_64,False,legacy-bios,,False
i-51e4e14cec224ae5,ami-14bfc3d7,c4.large,arn:aws:iam::266480780430:instance-profile/465483f5,2024-12-21T13:31:00Z,1608321636,disabling,stopped,eu-north-1b,default,arm64,True,uefi,scheduled,True
i-d3dddd5658754a71,ami-de0df0a1,r4.large,arn:aws:iam::266480780430:instance-profile/e2cf1e14,2024-05-04T00:48:00Z,1634490779,pending,stopped,eu-north-1b,host,x86_64,False,uefi,spot,True
i-8bf7d94c153c4824,ami-eceb61df,m5.large,arn:aws:iam::266480780430:instance-profile/eb1c12f3,2024-03-11T04:03:00Z,1663793328,pending,terminated,eu-north-1a,dedicated,x86_64,False,uefi,scheduled,False
i-10b36f6150e14401,ami-773b4d1d,t2.micro,arn:aws:iam::266480780430:instance-profile/1818f6cd,2024-10-28T08:54:00Z,1642448713,disabling,terminated,eu-north-1a,dedicated,arm64,True,legacy-bios,,True
i-bb7470b09ecc49b3,ami-3c372643,m5.large,arn:aws:iam::266480780430:instance-profile/f4d25925,2024-02-27T02:56:00Z,1695868832,pending,running,eu-north-1a,default,x86_64,False,uefi,spot,False
i-c65a27f5a7114509,ami-15e10960,r4.large,arn:aws:iam::266480780430:instance-profile/c5f78cf4,2024-03-04T07:30:00Z,1635703079,disabled,running,eu-north-1b,default,arm64,True,legacy-bios,scheduled,True
i-c00424d2e8584725,ami-595ea923,m5.large,arn:aws:iam::266480780430:instance-profile/3ebdfe03,2024-05-04T10:19:00Z,1627180685,enabled,terminated,eu-north-1b,dedicated,x86_64,True,legacy-bios,,False
i-47bd96fd569441e0,ami-d2d8275a,t2.micro,arn:aws:iam::266480780430:instance-profile/011bd816,2024-12-07T23:28:00Z,1689952426,enabled,terminated,eu-north-1b,dedicated,arm64,True,legacy-bios,,True
i-eeb128347fe240ab,ami-4a9281f0,r4.large,arn:aws:iam::266480780430:instance-profile/571996ed,2024-07-12T06:45:00Z,1697484597,pending,stopped,eu-north-1b,host,x86_64,True,uefi,,True
i-d691a71a62e941d0,ami-29788a86,r4.large,arn:aws:iam::266480780430:instance-profile/883a9ef0,2024-10-03T01:51:00Z,1630542521,disabling,stopped,eu-north-1b,dedicated,x86_64,False,legacy-bios,scheduled,False
i-86229f1e8bf84cbd,ami-cf6a6b1f,r4.large,arn:aws:iam::266480780430:instance-profile/e530d69e,2024-05-01T17:18:00Z,1674223994,disabling,terminated,eu-north-1a,dedicated,x86_64,False,uefi,scheduled,True
i-a24254befbb64509,ami-f429f7c2,c4.large,arn:aws:iam::266480780430:instance-profile/c508b88a,2024-10-24T07:35:00Z,1622908741,disabling,running,eu-north-1b,dedicated,arm64,True,uefi,,True
i-89f5d31d75864507,ami-572282c9,r4.large,arn:aws:iam::266480780430:instance-profile/25f5f08f,2024-09-26T19:43:00Z,1690585671,pending,running,eu-north-1b,host,arm64,False,legacy-bios,,False
