id,region,ownerid,cidr_block,available_ip_address_count,default_for_az,map_customer_owned_ip_on_launch,map_public_ip_on_launch,availability_zone,availability_zone_id,state,assignipv6addressoncreation
subnet-e4fdf8247d2248b8,eu-north-1,266480780430,10.0.75.0/24,248,True,True,True,eu-north-1b,eunorth1b,pending,False
subnet-ecab694e60ea46bf,eu-north-1,201271672047,10.0.185.0/24,237,True,True,True,eu-north-1b,eunorth1b,pending,True
subnet-9543070158c74db1,us-east-1,379396446186,10.0.63.0/24,254,True,False,True,us-east-1c,useast1c,pending,False
subnet-a7a8144e75234345,us-west-2,578962991709,10.0.2.0/24,125,True,True,True,us-west-2a,uswest2a,available,False
subnet-b82125089b06404f,ap-southeast-1,624403779564,10.0.188.0/24,241,False,False,False,ap-southeast-1b,apsoutheast1b,available,False
subnet-1bdfc8b0137643a2,ap-southeast-1,230291565015,10.0.236.0/24,232,False,True,True,ap-southeast-1b,apsoutheast1b,available,True
subnet-a94a6d69f6de405c,ap-southeast-1,598078662177,10.0.88.0/24,165,True,True,False,ap-southeast-1a,apsoutheast1a,available,True
subnet-96915c2c9bf84c7a,ap-southeast-1,308919972224,10.0.127.0/24,137,True,True,False,ap-southeast-1b,apsoutheast1b,available,False
subnet-491196a60d164ae6,us-east-1,689713935847,10.0.67.0/24,86,True,False,False,us-east-1c,useast1c,available,False
subnet-c422153d2d264a20,eu-north-1,934545178070,10.0.68.0/24,103,False,True,False,eu-north-1a,eunorth1a,available,False
subnet-fce80d037aac45f1,ap-southeast-1,846196185641,10.0.231.0/24,99,True,True,True,ap-southeast-1a,apsoutheast1a,available,True
subnet-9e729379b92d42ff,eu-north-1,588143661137,10.0.54.0/24,200,True,True,False,eu-north-1a,eunorth1a,available,True
subnet-35c512c8a1c84aa9,ap-southeast-1,103299882672,10.0.55.0/24,126,False,True,True,ap-southeast-1a,apsoutheast1a,pending,False
subnet-04959c10ae634b9c,eu-north-1,590778817824,10.0.109.0/24,208,False,True,False,eu-north-1b,eunorth1b,pending,False
subnet-050903050f8c40d6,eu-north-1,561885033944,10.0.239.0/24,216,True,True,False,eu-north-1b,eunorth1b,available,False
subnet-68295b18900144ad,us-east-1,804965310276,10.0.146.0/24,196,True,False,False,us-east-1a,useast1a,available,True
subnet-c992af5b44064881,us-east-1,346818835811,10.0.77.0/24,84,False,False,False,us-east-1b,useast1b,available,False
subnet-6220c09b37764b3d,ap-southeast-1,178862065282,10.0.175.0/24,139,False,True,False,ap-southeast-1b,apsoutheast1b,available,True
subnet-532865b57c9c43f8,ap-southeast-1,438983489750,10.0.77.0/24,144,False,True,True,ap-southeast-1b,apsoutheast1b,pending,True
subnet-e034761f19b34fd5,us-west-2,360620046312,10.0.52.0/24,207,False,True,True,us-west-2a,uswest2a,available,True
