ip_address,ip_type,geolocation_country,geolocation_region,geolocation_city,asn,as_org,is_known_malicious,threat_category,first_seen,last_seen,reputation_score
2.144.39.156,public,DE,Region-7,City-64,10592,Microsoft,False,,2025-01-19T10:18:00Z,2025-01-06T12:09:00Z,81
5.174.113.28,public,CA,Region-3,City-79,15886,Hetzner,False,,2025-06-04T16:42:00Z,2025-06-17T05:58:00Z,91
99.165.119.40,public,JP,Region-9,City-21,11032,Hetzner,False,,2025-03-10T19:26:00Z,2025-01-07T19:36:00Z,99
222.236.249.82,public,FR,Region-5,City-52,7899,Cloudflare,False,,2025-01-01T14:52:00Z,2025-02-27T09:36:00Z,90
117.228.159.3,public,FR,Region-5,City-40,62357,Akamai,False,,2025-06-13T02:02:00Z,2025-02-12T13:00:00Z,90
142.105.249.155,public,CA,Region-8,City-54,45574,Microsoft,False,,2025-01-19T08:46:00Z,2025-02-12T05:32:00Z,86
180.254.20.113,public,JP,Region-2,City-43,58164,Microsoft,False,,2025-04-06T18:30:00Z,2025-03-18T12:08:00Z,71
16.226.45.61,public,BR,Region-4,City-7,40575,Akamai,False,,2025-05-06T06:33:00Z,2025-05-15T15:33:00Z,90
72.57.1.153,public,DE,Region-6,City-46,8135,Google,False,,2025-02-21T11:27:00Z,2025-04-12T10:16:00Z,83
151.53.55.209,public,IN,Region-9,City-23,28726,Cloudflare,False,,2025-03-25T08:47:00Z,2025-06-10T21:43:00Z,72
3.143.71.143,public,US,Region-5,City-98,3740,Akamai,False,,2025-01-12T01:57:00Z,2025-05-27T07:03:00Z,88
178.137.124.21,public,FR,Region-7,City-58,15873,Akamai,False,,2025-05-23T18:07:00Z,2025-01-16T05:05:00Z,80
113.141.247.126,public,US,Region-4,City-13,49603,Microsoft,False,,2025-01-22T22:30:00Z,2025-04-04T07:39:00Z,79
52.225.143.150,public,GB,Region-7,City-88,38528,Hetzner,False,,2025-05-15T18:08:00Z,2025-01-07T10:33:00Z,86
72.160.230.185,public,CA,Region-5,City-67,57866,Microsoft,False,,2025-06-03T09:03:00Z,2025-02-05T04:44:00Z,75
69.109.12.151,public,RU,Region-9,City-88,7426,Hetzner,False,,2025-05-28T20:23:00Z,2025-01-08T09:34:00Z,79
177.100.204.197,public,DE,Region-6,City-48,54937,Google,False,,2025-04-08T12:17:00Z,2025-04-12T21:37:00Z,73
36.52.7.72,public,JP,Region-6,City-45,65329,Linode,False,,2025-01-14T20:57:00Z,2025-01-26T00:24:00Z,86
204.22.101.236,public,BR,Region-9,City-63,52093,Hetzner,True,tor_exit,2025-05-28T12:56:00Z,2025-01-10T07:24:00Z,30
84.28.75.145,public,US,Region-2,City-20,13551,Digital Ocean,False,,2025-02-16T14:15:00Z,2025-05-13T08:02:00Z,76
142.30.207.77,public,RU,Region-6,City-14,46008,Amazon.com,False,,2025-05-02T10:32:00Z,2025-05-28T07:47:00Z,99
196.95.186.17,public,RU,Region-6,City-75,5529,Microsoft,False,,2025-02-19T16:52:00Z,2025-04-01T18:11:00Z,90
166.97.108.231,public,GB,Region-8,City-56,63587,Hetzner,True,tor_exit,2025-05-25T08:36:00Z,2025-05-06T15:02:00Z,24
103.250.141.62,public,JP,Region-3,City-89,57521,Google,False,,2025-03-25T10:58:00Z,2025-05-08T01:12:00Z,75
178.226.8.171,public,JP,Region-4,City-30,24672,Microsoft,True,malware_c2,2025-06-18T12:50:00Z,2025-05-18T09:46:00Z,27
164.199.166.131,public,FR,Region-3,City-41,27012,Akamai,True,scanner,2025-02-08T08:45:00Z,2025-03-05T00:11:00Z,13
112.25.105.173,public,GB,Region-10,City-29,39215,Cloudflare,False,,2025-02-25T05:12:00Z,2025-02-15T07:07:00Z,70
189.22.207.65,public,US,Region-4,City-84,44926,Linode,False,,2025-04-11T08:15:00Z,2025-03-15T03:04:00Z,95
210.239.152.72,public,CA,Region-10,City-69,28100,Cloudflare,False,,2025-01-26T22:49:00Z,2025-02-12T22:27:00Z,89
176.225.232.100,public,DE,Region-5,City-66,18533,Hetzner,False,,2025-04-06T08:28:00Z,2025-05-04T10:05:00Z,100
31.153.159.205,public,IN,Region-1,City-89,19857,Microsoft,False,,2025-06-04T17:08:00Z,2025-05-12T18:15:00Z,82
8.85.187.186,public,US,Region-7,City-94,35349,Hetzner,True,malware_c2,2025-02-08T17:14:00Z,2025-02-20T07:12:00Z,30
93.130.27.95,public,IN,Region-3,City-96,22415,Google,False,,2025-03-28T23:12:00Z,2025-03-12T13:03:00Z,70
18.214.171.195,public,GB,Region-5,City-53,64522,Google,False,,2025-03-05T16:18:00Z,2025-03-20T20:11:00Z,100
74.183.154.79,public,DE,Region-7,City-67,15832,Cloudflare,False,,2025-05-03T01:13:00Z,2025-02-21T18:28:00Z,71
216.89.251.233,public,BR,Region-6,City-25,58689,Google,False,,2025-04-06T15:13:00Z,2025-01-27T17:43:00Z,73
165.217.93.17,public,CA,Region-7,City-49,43591,Amazon.com,False,,2025-04-13T13:13:00Z,2025-03-09T09:31:00Z,74
128.167.11.206,public,CN,Region-9,City-77,16541,Linode,False,,2025-03-20T14:38:00Z,2025-05-28T10:44:00Z,96
124.55.14.1,public,GB,Region-2,City-88,23203,Amazon.com,False,,2025-04-20T00:53:00Z,2025-05-26T19:05:00Z,74
198.36.202.228,public,GB,Region-10,City-30,64968,Google,False,,2025-03-06T21:30:00Z,2025-04-25T10:04:00Z,76
115.57.251.158,public,BR,Region-2,City-84,44855,Digital Ocean,True,malware_c2,2025-01-01T22:27:00Z,2025-05-15T17:12:00Z,26
61.89.243.108,public,US,Region-7,City-59,56315,Amazon.com,False,,2025-04-14T02:26:00Z,2025-05-12T20:06:00Z,98
9.90.97.85,public,DE,Region-4,City-11,43683,Google,False,,2025-02-22T12:02:00Z,2025-04-03T03:24:00Z,85
22.31.59.254,public,CN,Region-2,City-44,41378,Linode,False,,2025-02-21T08:16:00Z,2025-05-02T10:15:00Z,74
59.60.99.17,public,GB,Region-1,City-91,61734,Amazon.com,False,,2025-01-09T08:22:00Z,2025-02-12T04:08:00Z,100
176.202.164.170,public,FR,Region-9,City-38,20155,Hetzner,False,,2025-05-24T09:04:00Z,2025-03-16T07:17:00Z,92
