id,mac_address,description,private_ip_address,private_dns_name,public_ip,status,subnetid,interface_type,source_dest_check
eni-8773743052844d29,f2:fe:69:65:04:ea,Interface 1 for i-61010827ec8c4d28,10.244.214.112,ip-10-244-214-112.ec2.internal,52.226.149.178,in-use,subnet-1bdfc8b0137643a2,interface,True
eni-b485738333dd4584,9c:ec:f9:b5:de:8b,Interface 2 for i-61010827ec8c4d28,10.33.132.79,ip-10-33-132-79.ec2.internal,54.7.172.77,detaching,subnet-b82125089b06404f,interface,False
eni-d02c2dcfaa4e4c6a,0e:9e:e4:2e:7c:e3,Interface 3 for i-61010827ec8c4d28,10.137.173.52,ip-10-137-173-52.ec2.internal,54.244.33.125,associated,subnet-ecab694e60ea46bf,interface,True
eni-5c31945cb6ce4063,bb:9e:f7:82:37:f5,Interface 1 for i-0e489cb13bb44012,10.80.104.111,ip-10-80-104-111.ec2.internal,53.240.58.210,available,subnet-c422153d2d264a20,efa,True
eni-dd9dee50ea1745c0,78:e0:34:c5:f0:bb,Interface 2 for i-0e489cb13bb44012,10.152.213.36,ip-10-152-213-36.ec2.internal,52.254.62.70,detaching,subnet-e034761f19b34fd5,interface,False
eni-a3f2d24ce8a64510,f9:86:83:b9:11:3d,Interface 3 for i-0e489cb13bb44012,10.139.11.254,ip-10-139-11-254.ec2.internal,53.84.159.240,detaching,subnet-9543070158c74db1,efa,True
eni-854178efba6946c6,ad:ab:44:69:e5:12,Interface 1 for i-58219f9a51f24821,10.41.179.100,ip-10-41-179-100.ec2.internal,54.172.236.60,in-use,subnet-532865b57c9c43f8,efa,True
eni-ffa1b0a161fd45df,37:d1:3a:cf:2f:a3,Interface 1 for i-51e4e14cec224ae5,10.202.39.253,ip-10-202-39-253.ec2.internal,53.184.37.100,available,subnet-ecab694e60ea46bf,interface,True
eni-abab027c8a204578,72:53:ab:90:e6:92,Interface 2 for i-51e4e14cec224ae5,10.158.157.67,ip-10-158-157-67.ec2.internal,52.140.238.118,available,subnet-6220c09b37764b3d,interface,False
eni-6f52ff4482854792,57:97:d2:9f:21:c3,Interface 1 for i-d3dddd5658754a71,10.161.45.238,ip-10-161-45-238.ec2.internal,52.21.121.210,available,subnet-050903050f8c40d6,efa,True
