id,from_interface_id,to_interface_id,srcport,dstport,protocol,packets,bytes,windowstart,windowend,action,flowlogstatus,flow_direction,region,account_id,tcp_flags,traffic_path
flow-int-ab685400ea0e4e05,eni-58b4a51a16154759,eni-0a2733fa99d944c2,0,0,1,137,7278,1708443275,1708446666,REJECT,SKIPDATA,egress,us-west-2,993499028217,0,5
flow-int-f51b2454ab8647da,eni-97dddaac028f4784,eni-3300b1f73f92499d,47031,443,6,51,31559,1708970402,1708971160,ACCEPT,SKIPDATA,ingress,eu-north-1,890129781866,221,5
flow-int-dd11cac0594a4841,eni-a1150974ace747bc,eni-72cdaa27b0ec4024,0,0,1,123,19518,1705415781,1705416181,ACCEPT,SKIPDATA,ingress,us-west-2,807232369234,0,5
flow-int-b3342022917b42be,eni-209efb1b6fd94022,eni-da320fb8afae4d47,63299,53,6,31,25895,1708482427,1708483268,ACCEPT,OK,ingress,eu-north-1,838727938234,151,4
flow-int-30a426c8658441c5,eni-0ca51227c9bf4c27,eni-1ab218d89c3444ff,50563,143,17,73,8828,1705483121,1705485634,ACCEPT,SKIPDATA,ingress,us-east-1,455677521581,0,2
flow-int-3889dcb23c8840ac,eni-5353f4618a7c4963,eni-965f6994882746f2,46493,23,6,469,17656,1706481487,1706482797,ACCEPT,NODATA,ingress,ap-southeast-1,767571968884,184,6
flow-int-f0e08b6c11d34fb7,eni-113070a658f14a7e,eni-4f8b1dd627d14c68,46101,993,17,18,31338,1708363790,1708364098,ACCEPT,SKIPDATA,egress,ap-southeast-1,494603580824,0,3
flow-int-7b4d92cf31134d7c,eni-46ca97fd47cf456c,eni-6aa40492498c4fd3,48319,3306,17,339,3449,1708944083,1708945298,ACCEPT,OK,ingress,eu-north-1,390046012482,0,2
flow-int-82c89515d7ed4ce2,eni-811419a555a344f8,eni-47779dec2ea845ef,0,0,1,87,11038,1704742839,1704746171,ACCEPT,OK,egress,ap-southeast-1,176985445420,0,7
flow-int-192571e641e94932,eni-15933cd29d284178,eni-8122a097656c46b2,0,0,1,294,3414,1707675208,1707678177,ACCEPT,SKIPDATA,egress,eu-north-1,231940527580,0,5
flow-int-ac9b5d7934ea46b1,eni-cfa6f1e4bb614846,eni-df24cdb17f954431,0,0,1,428,19904,1708013899,1708014007,ACCEPT,OK,ingress,eu-north-1,916241648981,0,7
flow-int-b64ce04d0f814ccf,eni-20a0d5d9ce454204,eni-3559da35f3dd4827,55953,3306,17,356,14835,1708789578,1708790362,ACCEPT,NODATA,egress,us-west-2,945658080776,0,4
flow-int-f88795ecfa984c8b,eni-9cdc9b58bb014987,eni-72dd80f376064408,0,0,1,320,16221,1706066725,1706068227,ACCEPT,OK,ingress,ap-southeast-1,438038183952,0,2
flow-int-3ca0930b798548bb,eni-f3d4467b41c24dd5,eni-949577f6810e4f15,65363,23,17,470,25886,1708650012,1708650694,ACCEPT,SKIPDATA,egress,eu-north-1,918161151330,0,7
flow-int-1ac5250804a646bd,eni-f46739d196624039,eni-72122544b35346f4,49663,80,17,328,985,1705552277,1705553400,ACCEPT,NODATA,egress,us-east-1,372417732855,0,8
flow-int-9a1676f021c84f88,eni-95a8fdc173c743df,eni-b771da5b329f438a,0,0,1,375,18606,1706952264,1706953648,ACCEPT,NODATA,ingress,us-west-2,929695663476,0,7
flow-int-4af3fb8cb6c84b90,eni-c2d6d04115b24378,eni-8c61ce0f3c1247dc,46093,993,6,492,8329,1704421693,1704421833,ACCEPT,OK,ingress,ap-southeast-1,378718066456,90,7
flow-int-a22d2b9df5c24b71,eni-3789d94b455a43d7,eni-5141e78f3e964731,39133,3389,6,396,2670,1707732873,1707735971,ACCEPT,NODATA,ingress,us-east-1,719447153781,179,6
flow-int-f04699051158457b,eni-34b774453a194541,eni-094b6c0d1da8407c,37537,995,17,387,8036,1705944143,1705946106,ACCEPT,SKIPDATA,egress,ap-southeast-1,296793094525,0,7
flow-int-55727b1f06084434,eni-4f2be0cc3001422a,eni-1a48fc8b67e4418f,65049,110,17,145,17732,1706614215,1706615146,ACCEPT,SKIPDATA,egress,ap-southeast-1,570772563880,0,1
flow-int-05f9b5684fb848b9,eni-c091063f63964b69,eni-e07d72cafbfe434c,44748,110,17,299,7111,1704565585,1704567582,ACCEPT,OK,egress,eu-north-1,119387617931,0,4
flow-int-0f69bcd8862348b2,eni-82673b4d52994763,eni-9fd70c47ad27466c,0,0,1,304,12324,1704340595,1704341348,ACCEPT,NODATA,egress,us-west-2,617942675100,0,7
flow-int-d3bb1169edcd4917,eni-b35f8f73ac9c4c56,eni-832937ea14d94bb6,41531,3389,17,493,9569,1704658343,1704659851,ACCEPT,OK,ingress,ap-southeast-1,367360301149,0,4
flow-int-b469ec4c388f4397,eni-040a709a706d472f,eni-20ea588aed40474c,0,0,1,419,25653,1705032920,1705035150,ACCEPT,NODATA,ingress,us-west-2,159490250843,0,2
flow-int-83d3cd6891b14749,eni-95a1e2ecea8f4de5,eni-9d5e269a3592420d,0,0,1,499,22436,1706556542,1706557542,ACCEPT,SKIPDATA,ingress,eu-north-1,181742602567,0,5
flow-int-e264a3aa123545c5,eni-1d14fca780884db3,eni-a9875b9f95f9478f,39887,22,17,192,21788,1707540153,1707542035,ACCEPT,SKIPDATA,ingress,ap-southeast-1,154162038455,0,2
flow-int-d928ec219d5a4125,eni-6c64344acf75440c,eni-0354328d1ca541fa,52171,993,6,170,14903,1708534600,1708536072,ACCEPT,SKIPDATA,egress,us-west-2,333134769108,61,8
flow-int-36e8102ce1774cbb,eni-09a99301a5474ff5,eni-1d768a12bfa14ac7,51651,995,6,258,24771,1707760803,1707761332,REJECT,NODATA,egress,us-east-1,354416687388,215,7
flow-int-4536d5dc1f674de8,eni-29e250cdcd1643dc,eni-794f0594fa694927,53901,25,6,346,21482,1704473337,1704475561,ACCEPT,NODATA,egress,ap-southeast-1,853287741159,83,1
flow-int-09ea4b02eff04b20,eni-9450643518f24355,eni-d3e1d5eb2e5a46d7,0,0,1,444,31607,1704969827,1704970522,ACCEPT,OK,ingress,us-west-2,157907465849,0,4
flow-int-148b7b879a304921,eni-bd3df3f2797b4499,eni-a0a8fd68c83845e3,0,0,1,268,24403,1704558684,1704559804,ACCEPT,NODATA,ingress,eu-north-1,973356852744,0,4
flow-int-61b678a3d2ba4a60,eni-469987b9c52f4183,eni-1527ac3317224e16,52723,25,17,139,5437,1706150684,1706151120,ACCEPT,NODATA,egress,us-west-2,330406820620,0,5
flow-int-d53d827dde4849fe,eni-8a778468d8e64b3a,eni-df475f218c6f4b0f,58125,110,17,6,23287,1709053348,1709055241,ACCEPT,SKIPDATA,egress,us-east-1,371016960033,0,1
flow-int-a437e07cc2994a2a,eni-a9afe4a1baa64625,eni-50e1b5ecac9f4b62,37244,53,17,363,6904,1706000742,1706002109,ACCEPT,SKIPDATA,ingress,ap-southeast-1,740544482966,0,1
flow-int-8535eb0ad05b45b5,eni-edd6d7e395484c52,eni-c0b13f8df9364d86,40382,995,6,186,26719,1707250288,1707252472,ACCEPT,SKIPDATA,egress,us-east-1,548240373155,247,4
flow-int-a04762e634e54bb2,eni-142a8d786b6146ec,eni-7def5908af224d88,33633,5432,6,217,4541,1706556229,1706556720,ACCEPT,NODATA,egress,eu-north-1,122165948838,38,3
flow-int-dc15aebc25ff4c6c,eni-eb545072dace426f,eni-101be67d9ae74c36,36905,110,6,447,16344,1704566292,1704566973,ACCEPT,NODATA,ingress,us-west-2,998256316198,173,1
flow-int-f7a418f867224a5c,eni-26ee29ec7a4e4893,eni-3796cf1b6b524fa3,0,0,1,298,31295,1705843737,1705846855,ACCEPT,OK,ingress,us-west-2,557153684613,0,8
flow-int-d4eac01ab09a45af,eni-650053a196124633,eni-68a935f9e06d4fe8,0,0,1,117,12440,1704609625,1704610190,ACCEPT,NODATA,ingress,us-east-1,198194310125,0,7
flow-int-2af1e9d351b44029,eni-89d3b92231e64552,eni-cc2914faf7004d5e,0,0,1,225,29232,1704669664,1704671301,ACCEPT,OK,ingress,us-west-2,693337189091,0,8
flow-int-01fde0116bf94daa,eni-98fdbbefa9954319,eni-ac6d2bc47547445a,44239,53,6,80,13292,1707386880,1707388257,ACCEPT,OK,egress,us-east-1,306395765774,166,6
flow-int-8fb830028a0d4a14,eni-d9ac72ac2d544025,eni-ec301bbed18149a8,38957,110,6,157,11397,1709172516,1709174500,ACCEPT,SKIPDATA,ingress,eu-north-1,486860161974,177,6
flow-int-8ddeb842ddf94521,eni-9fddd8b75b754ea3,eni-146a7354d16d4c93,50119,110,6,323,20749,1707908998,1707911149,ACCEPT,NODATA,egress,ap-southeast-1,566280629176,203,4
flow-int-e152d318bff94a2c,eni-46bb9607b9ae4466,eni-a865b78e99ef46a9,57820,22,6,54,5913,1704110320,1704112389,ACCEPT,NODATA,egress,eu-north-1,769203239203,145,4
flow-int-29742fe27a5a4b4f,eni-091e7677367f43ec,eni-0ac66663ba0a44ed,34710,53,6,443,18159,1707624393,1707625376,ACCEPT,SKIPDATA,egress,us-west-2,120685143032,158,1
flow-int-e9caef71b78349ae,eni-4a798b79cffa4b6d,eni-55b72821e7904a26,63310,995,6,444,7117,1707348610,1707349350,ACCEPT,NODATA,egress,us-west-2,330774322210,60,1
flow-int-e911e9a8d7e5453b,eni-7a2bf7301e3a49fe,eni-2769dc33c967402c,0,0,1,286,26205,1708828756,1708831829,ACCEPT,NODATA,egress,ap-southeast-1,135438014980,0,4
flow-int-81b0db504caf4428,eni-89eaae00c3eb4811,eni-cf3f9ddcb52f42aa,54262,22,17,425,3646,1705099377,1705102869,ACCEPT,SKIPDATA,egress,us-west-2,992781953020,0,8
flow-int-03e39486511e45e8,eni-55cbf0dedddf4fe9,eni-9380d0678e8648d4,37909,23,6,472,32525,1706022648,1706024735,ACCEPT,SKIPDATA,ingress,eu-north-1,779559491154,34,1
flow-int-79bc1dabcb964a5e,eni-f52fdc6e336c4c23,eni-51401d876d7743a2,57896,25,6,333,6931,1705115699,1705116331,ACCEPT,OK,ingress,us-east-1,820120891147,138,7
flow-int-15ba542d6ea54032,eni-8b5f93b9d3d5412f,eni-39a2b709a3724a9c,42642,3389,6,49,3310,1706874341,1706876218,ACCEPT,NODATA,ingress,ap-southeast-1,800421009309,74,1
flow-int-3ddb9dd51636453e,eni-d2beeda437224ebf,eni-7255d2df31514ca4,62241,3389,17,448,26219,1705603333,1705604705,ACCEPT,SKIPDATA,egress,us-east-1,859450346329,0,5
flow-int-6812757a8e274072,eni-a88c3f234b5f4f2f,eni-3daf0f5808c8438f,59162,110,17,94,11193,1706885624,1706886188,ACCEPT,OK,egress,us-east-1,412282133205,0,6
flow-int-d7b05260a4264aae,eni-ff6b31ef443f4e39,eni-d38401c2efac4511,58862,995,6,55,24319,1704528612,1704530777,ACCEPT,OK,egress,us-west-2,864505686613,104,2
flow-int-511e2b9464744407,eni-12baf37d7cfb4cc6,eni-c253f3d0a3364631,33478,3306,17,388,12771,1706695379,1706696022,ACCEPT,NODATA,egress,eu-north-1,554328716779,0,4
flow-int-0cb70032961c4e25,eni-0ce944782b7643ec,eni-b7e5755ff53b4059,53769,143,17,298,20997,1704867096,1704867783,ACCEPT,NODATA,ingress,eu-north-1,299089548394,0,2
flow-int-dc18c03453bb49ab,eni-cbff1ca2615140a9,eni-196329c1f91a48d7,58428,443,6,399,2123,1707468453,1707471824,ACCEPT,OK,ingress,ap-southeast-1,389541147532,39,4
flow-int-aed10ae18b374ee0,eni-d0fe03c331de4e2a,eni-f64efcc2eb364fe3,42674,23,17,499,18669,1707371755,1707374555,ACCEPT,NODATA,ingress,us-west-2,535676718333,0,6
flow-int-e244d031ab0f44a7,eni-838ad31633f3489a,eni-121e142717ce4716,41242,143,17,452,18892,1707411770,1707413141,ACCEPT,NODATA,ingress,ap-southeast-1,163054848643,0,8
flow-int-fcb555ba02924467,eni-9d3f2962e9154381,eni-5dba77a35c1a4989,53314,443,17,95,28221,1708455891,1708456552,ACCEPT,OK,egress,eu-north-1,189584510837,0,1
flow-int-ac7f4f5a7dba40be,eni-8d64ccdeebe74c2f,eni-c1186c09a7b6496a,53191,23,6,207,21694,1705594503,1705596709,ACCEPT,NODATA,ingress,eu-north-1,441239155412,187,7
flow-int-741bc452e69542e6,eni-3dc38fc315a744a1,eni-0751ef1e811b4cfe,33491,25,17,161,6906,1705141665,1705143222,ACCEPT,SKIPDATA,egress,us-east-1,818815194534,0,1
flow-int-bfed4464635148fe,eni-c0377c076ada4341,eni-aeb62ada96514af7,50084,80,6,500,23699,1708981420,1708983985,ACCEPT,SKIPDATA,ingress,eu-north-1,666978575569,118,6
flow-int-def8bc66a4e542fc,eni-7412f262bfc34b0f,eni-5afd4fa1912543f3,0,0,1,300,29435,1704931162,1704934380,ACCEPT,NODATA,ingress,eu-north-1,701970666582,0,2
flow-int-e8277b5ff8274970,eni-0970057f7ebe418d,eni-b33c388175894c0c,44758,23,6,329,5625,1708856477,1708857684,ACCEPT,OK,egress,eu-north-1,654092690368,6,5
flow-int-ac1854f18a224a53,eni-f22e752761ea433a,eni-51c6c75949b54a4a,38203,80,17,441,12411,1707340353,1707342235,ACCEPT,SKIPDATA,ingress,us-west-2,258074536667,0,5
flow-int-e78e65c2da0b40f8,eni-536f613e3eb246a9,eni-04c0acef194b434c,0,0,1,437,23639,1704328397,1704329685,ACCEPT,NODATA,egress,us-east-1,716646222943,0,4
flow-int-69f03d06f1f745d6,eni-344616785c284975,eni-13bee8bdb90e4eef,36922,443,6,451,27484,1705975665,1705977713,ACCEPT,SKIPDATA,egress,eu-north-1,345185154660,146,1
flow-int-ff814d9b90f24eba,eni-481c56a9e09c4a7d,eni-8e16463065644e91,51034,3306,6,163,29520,1704485011,1704485454,ACCEPT,NODATA,egress,us-east-1,551563556848,152,7
flow-int-98802acd69cd458b,eni-61d0868fb7ba45b0,eni-ea87414e49a441fc,48726,443,17,361,32393,1706753541,1706756264,REJECT,NODATA,egress,eu-north-1,253325979349,0,5
flow-int-1273063da5ab48e0,eni-c738844d60b744be,eni-cbd7ccb4e54c40d5,61897,25,17,95,6247,1708486953,1708488903,ACCEPT,OK,ingress,eu-north-1,516763514120,0,2
flow-int-b808522dc45044d4,eni-64cefbef79e9491e,eni-af631d7a46684b36,37631,993,17,281,2889,1707771835,1707775206,REJECT,OK,ingress,us-west-2,832425531948,0,1
flow-int-7418c3eb4ce843d9,eni-c2d8e2c2a04448bd,eni-e2fda89cbf724ba3,47438,110,6,478,15147,1708892507,1708893031,ACCEPT,NODATA,ingress,ap-southeast-1,831910588580,242,1
flow-int-ca816faa8c5e494d,eni-46d457902b4d454a,eni-7d758ad769184acd,48362,25,17,321,24396,1708059316,1708062647,REJECT,NODATA,egress,us-west-2,737074970380,0,1
flow-int-23337b8380184d36,eni-8a8ca67bcd8f47f7,eni-c83d230cdbcf4db7,0,0,1,232,15208,1706838444,1706840012,ACCEPT,SKIPDATA,egress,ap-southeast-1,623391566426,0,7
flow-int-f2ece05f77c747b4,eni-ffcaad67345d43fd,eni-8f8ab0678c9f4e22,60169,25,17,271,3084,1708005696,1708007583,ACCEPT,SKIPDATA,egress,us-east-1,374061434161,0,1
flow-int-11778486f08b48d5,eni-641ddaf6c6e44b43,eni-d38b08b480b348dd,0,0,1,330,29661,1708535357,1708536109,ACCEPT,NODATA,egress,ap-southeast-1,501533940167,0,8
flow-int-6e599556592b4c19,eni-edddadee3f4d41dd,eni-a526a8f266484b83,0,0,1,350,3007,1706328065,1706330335,ACCEPT,NODATA,ingress,us-west-2,872713098779,0,8
flow-int-031d981dd4d3456f,eni-b72bd687b03945fd,eni-89ed974506c34d3b,40713,443,17,102,19427,1707213425,1707214665,ACCEPT,NODATA,egress,eu-north-1,933005141587,0,3
flow-int-ad9a2eb72530411e,eni-0977527453f8442c,eni-2b125da369e642ca,0,0,1,359,6116,1708731827,1708734100,ACCEPT,SKIPDATA,ingress,ap-southeast-1,319333782384,0,6
flow-int-86d2e43ad85b4767,eni-d6e83fb1eb0e4489,eni-b060ab339a194673,40179,993,17,27,31746,1709082556,1709085012,ACCEPT,SKIPDATA,ingress,eu-north-1,142814597487,0,1
flow-int-026d5026e08d4464,eni-439a7aca5a7a44cd,eni-88afea5db8b8443d,48831,23,17,23,25751,1707082384,1707084151,ACCEPT,NODATA,egress,us-east-1,728564693289,0,8
