id,from_interface_id,to_external_ip,srcport,dstport,protocol,packets,bytes,windowstart,windowend,action,flowlogstatus,flow_direction,region,account_id,tcp_flags,traffic_path
flow-ext-8fbe33e4e3fc47d0,eni-7fd45614711440a4,114.44.51.77,39062,110,17,602,35877,1707934509,1707935135,ACCEPT,NODATA,egress,ap-southeast-1,987324241044,0,5
flow-ext-3d342894c2e749ff,eni-7de6cb2228a34797,151.53.55.209,41761,22,6,852,61874,1707749388,1707752319,ACCEPT,OK,egress,us-east-1,775626016639,82,8
flow-ext-bc0229224fd14d66,eni-507cf644f0a04505,19.222.183.230,0,0,1,808,4025,1709235360,1709236024,ACCEPT,OK,egress,ap-southeast-1,323883500748,0,1
flow-ext-d37863b5bf7e48da,eni-e6d3d72079c64de7,80.197.122.141,61049,143,6,549,45398,1704290112,1704292729,ACCEPT,SKIPDATA,ingress,ap-southeast-1,359537143899,35,7
flow-ext-180d0d05b3e14c39,eni-a9c5d926f4df4d07,150.130.218.196,52066,22,17,696,14524,1704432633,1704435355,ACCEPT,OK,ingress,eu-north-1,370460787622,0,4
flow-ext-25ae39a3dd364fe1,eni-ae7ee65fb2e545d5,178.226.8.171,42197,80,6,927,32427,1708585755,1708588816,REJECT,NODATA,ingress,us-east-1,832884721627,248,7
flow-ext-d33d054b331243ea,eni-8d3dc3194c104d84,9.46.169.226,0,0,1,953,42810,1704161659,1704161978,ACCEPT,OK,egress,us-east-1,136373127574,0,8
flow-ext-271365007c1b43e5,eni-5e6603482dd64177,46.241.51.133,0,0,1,544,62013,1708810348,1708813094,REJECT,OK,egress,ap-southeast-1,931273218986,0,7
flow-ext-795e47b336984d38,eni-705212dbd0534087,159.96.158.4,0,0,1,997,36999,1705448869,1705450931,REJECT,SKIPDATA,ingress,us-west-2,943781847393,0,5
flow-ext-2a0ff6b5ae8c44ab,eni-c187adc0114f45d7,23.91.251.6,39066,995,17,598,45751,1705271452,1705272088,ACCEPT,NODATA,egress,ap-southeast-1,857414188854,0,4
flow-ext-85e2367d2b824635,eni-414052981c8240a3,3.143.71.143,45492,23,17,392,60577,1706212905,1706215464,ACCEPT,SKIPDATA,egress,us-west-2,502598590032,0,8
flow-ext-3be01acddc044687,eni-ef6427d72d48467d,38.36.86.176,36547,25,17,708,38223,1708745757,1708747282,REJECT,NODATA,ingress,us-west-2,255632050999,0,7
flow-ext-864ba008be6e466b,eni-dbac400ed1e94792,210.239.152.72,0,0,1,991,5365,1707689469,1707692194,ACCEPT,SKIPDATA,egress,ap-southeast-1,436054403050,0,2
flow-ext-813e7e1139f043af,eni-45dcc914c2c143e7,4.104.191.87,0,0,1,590,13002,1708237095,1708237873,ACCEPT,NODATA,ingress,us-west-2,782545580483,0,4
flow-ext-d53967be826c4ddf,eni-fb579d547c344e5c,51.177.44.95,0,0,1,384,19870,1706512173,1706512592,ACCEPT,SKIPDATA,ingress,eu-north-1,361059403776,0,4
flow-ext-9adb60ad19aa4afb,eni-b9c3c86f72f94f72,168.244.222.164,0,0,1,904,42071,1707475048,1707477433,ACCEPT,NODATA,ingress,eu-north-1,428047623577,0,1
flow-ext-4ea3e7f3337341f4,eni-d4f24d073ab94536,181.209.56.220,42712,995,6,284,64724,1708140555,1708142411,ACCEPT,NODATA,ingress,us-west-2,759429475312,18,4
flow-ext-cf92689a959a445c,eni-238cbde61a7d4e24,177.100.204.197,41589,80,6,826,42533,1707927330,1707928281,ACCEPT,SKIPDATA,egress,us-east-1,118977305562,218,3
flow-ext-378390be2cb04778,eni-c3d0128f5ad44d8e,176.185.71.15,44117,23,6,296,2173,1705965439,1705967475,ACCEPT,NODATA,egress,ap-southeast-1,599610630027,17,5
flow-ext-866bac77eabe4077,eni-13222a55520c4e7a,57.24.66.14,41978,23,17,938,43613,1705262733,1705265115,ACCEPT,NODATA,egress,us-west-2,639296730033,0,2
flow-ext-57a7559ffea6480a,eni-1dcc7746def04bec,24.222.199.112,0,0,1,558,33578,1707412556,1707413681,REJECT,SKIPDATA,egress,us-east-1,325872165287,0,5
flow-ext-2bbe002f1a2d4622,eni-d5fc5fdb5c3c48aa,176.225.232.100,43092,110,6,846,22073,1708454006,1708455803,ACCEPT,NODATA,ingress,eu-north-1,244565518004,213,5
flow-ext-8bd1b22faae64db1,eni-1e4b05cfbe564100,176.225.232.100,0,0,1,697,40650,1704463749,1704464025,ACCEPT,OK,egress,eu-north-1,752371061614,0,2
flow-ext-bff3eb9edc0d49b3,eni-516aa68b1eeb4bfb,140.41.74.215,40165,22,6,13,54555,1706913664,1706915026,ACCEPT,NODATA,egress,us-west-2,357077049541,153,5
flow-ext-7beb55f6c3604216,eni-ef57bc53e8864f4f,190.60.54.102,62011,993,17,24,47969,1707427826,1707429453,ACCEPT,SKIPDATA,egress,ap-southeast-1,200241308411,0,4
flow-ext-d08e7c63aecc4f11,eni-f88cf5a940bf4850,8.131.83.40,56230,23,6,561,55738,1704583480,1704586251,ACCEPT,OK,egress,ap-southeast-1,537105553756,41,7
flow-ext-9bcd6de1acf34026,eni-d7ab1eec36774264,132.236.150.235,62451,5432,17,823,8830,1707653210,1707655284,ACCEPT,OK,ingress,us-east-1,511149123515,0,4
flow-ext-1d0464ebe6b0446d,eni-eeeb671f5d5f4cc9,4.247.213.91,40905,3306,17,291,11917,1708726425,1708727426,ACCEPT,OK,ingress,ap-southeast-1,288416910021,0,6
flow-ext-d50ad3fc2b5a45e9,eni-e8fa43f2c1f348d0,124.6.248.218,0,0,1,532,17630,1705936433,1705937454,REJECT,OK,ingress,us-west-2,729716569491,0,5
flow-ext-8c8a186b5ccd490b,eni-21e8110111e54753,72.160.230.185,48750,443,6,309,15864,1704873880,1704874854,ACCEPT,SKIPDATA,egress,ap-southeast-1,627512117431,164,8
flow-ext-d49c1fe468fb41fb,eni-6a4daff87b4a48de,52.132.123.218,61381,110,6,244,47181,1704591262,1704594140,ACCEPT,NODATA,egress,us-east-1,754768964459,214,5
flow-ext-26b38754b2e74943,eni-96fb3b85e7384214,136.7.194.212,57008,3389,6,429,11865,1709105430,1709106681,ACCEPT,NODATA,egress,eu-north-1,494303935709,86,4
flow-ext-2b6f23aadd9a41e1,eni-8ad6104a47754a94,16.206.122.194,0,0,1,122,45598,1708963842,1708967235,REJECT,SKIPDATA,egress,us-east-1,259961204310,0,1
flow-ext-f5521b6d03a144c3,eni-71a2e634b5ea4a25,214.52.209.116,42626,53,6,523,31358,1708874289,1708876902,REJECT,NODATA,egress,us-east-1,833501202633,228,5
flow-ext-188ac82ab69d4ea8,eni-7c9ffc61332341be,148.146.146.226,0,0,1,73,32731,1708536798,1708540173,ACCEPT,NODATA,ingress,us-east-1,636645694920,0,2
flow-ext-e00d794ea4534fe1,eni-e95061ebea1d42c9,165.87.118.85,55329,80,6,627,9813,1709054520,1709055383,ACCEPT,NODATA,egress,eu-north-1,222110461947,69,7
flow-ext-8a00423ba585458f,eni-e5623fe28f91450e,203.85.97.78,0,0,1,353,61231,1705589966,1705591083,REJECT,OK,ingress,us-west-2,299814217228,0,5
flow-ext-5b923c55e3004b9b,eni-703937b3fa3544b9,15.41.236.62,0,0,1,648,35470,1706512984,1706513456,ACCEPT,SKIPDATA,egress,us-west-2,897799680160,0,4
flow-ext-ad7d8789dff941c0,eni-dd5d831ac3514aae,92.47.138.235,50152,53,6,331,14633,1708151112,1708151784,REJECT,SKIPDATA,ingress,eu-north-1,138996667181,93,3
flow-ext-f4bc0f13d9c949b1,eni-210afe6adbbf42ea,19.222.183.230,40343,3389,17,637,40059,1706739375,1706741880,ACCEPT,NODATA,ingress,us-west-2,562635278263,0,7
flow-ext-b2dd3e3c2e3e4e21,eni-d368a071c97545da,193.116.37.45,0,0,1,466,43008,1704258579,1704260953,ACCEPT,OK,egress,us-east-1,614258648391,0,2
flow-ext-6d8cdb8d492741f1,eni-8c4ae86e40964dd3,154.189.250.176,0,0,1,788,5133,1704652943,1704655650,ACCEPT,OK,ingress,ap-southeast-1,898244026051,0,3
flow-ext-0a63964256af4fa8,eni-4e99e70de9284d67,24.80.178.48,51145,3306,6,525,33348,1704359415,1704361894,ACCEPT,SKIPDATA,egress,us-east-1,613619800837,79,6
flow-ext-834f4bdb430347a9,eni-18719a3b5208435c,189.22.207.65,41728,3389,6,361,47825,1708279349,1708279704,ACCEPT,OK,ingress,eu-north-1,758880132493,111,8
flow-ext-74d1e8ad4bf04bdd,eni-a034b0e411954ec1,4.104.191.87,43331,993,17,627,41542,1708040238,1708040869,ACCEPT,OK,egress,ap-southeast-1,458444872403,0,7
flow-ext-f47883f0be36456e,eni-8c4ae86e40964dd3,198.36.202.228,52283,5432,6,837,62534,1708279937,1708283126,ACCEPT,OK,egress,us-east-1,113801108767,55,4
flow-ext-dab5e812d7a14903,eni-34fbdc6dc2ea4dca,124.217.244.253,0,0,1,455,63547,1707812052,1707813585,ACCEPT,SKIPDATA,ingress,eu-north-1,928278717574,0,6
flow-ext-d6c5afda6bde4b92,eni-0a5faa96d9974c7e,211.220.23.121,43952,5432,6,20,37658,1708770479,1708773116,ACCEPT,NODATA,egress,ap-southeast-1,863959578074,14,1
flow-ext-842170aa6d254e07,eni-d865cdd19a43410e,24.222.199.112,58200,110,17,334,31682,1708069506,1708070609,ACCEPT,SKIPDATA,egress,us-east-1,152743123510,0,6
flow-ext-75288bb117e7469f,eni-5d8dad04f1d64850,180.254.20.113,0,0,1,126,40232,1707823067,1707825347,ACCEPT,NODATA,ingress,ap-southeast-1,514640623499,0,7
flow-ext-911d004eaa964173,eni-86739d1847994968,166.97.108.231,54173,3306,6,72,4741,1707813226,1707816697,ACCEPT,NODATA,egress,us-west-2,885656683879,177,5
flow-ext-5a3d8699e1ef4257,eni-1a6806959a1c417a,65.117.18.80,0,0,1,143,55015,1706615571,1706618440,ACCEPT,SKIPDATA,egress,us-west-2,902532888975,0,8
flow-ext-d9b2414e46934494,eni-1c388ebcb21643ca,159.8.89.234,0,0,1,641,7880,1705859940,1705863162,ACCEPT,SKIPDATA,egress,us-west-2,453006911916,0,4
flow-ext-db334e005069424d,eni-001393dade254253,132.236.150.235,0,0,1,826,11927,1704225156,1704227973,ACCEPT,NODATA,egress,us-west-2,848686902882,0,2
flow-ext-e0bf99948a2e4ee0,eni-705212dbd0534087,191.188.152.176,37640,993,17,208,10962,1706259478,1706262915,REJECT,NODATA,egress,us-west-2,510044644804,0,1
flow-ext-00bf5df623184c60,eni-51e08fdc341d48a0,19.222.183.230,57274,5432,6,123,9487,1707893822,1707897120,ACCEPT,NODATA,ingress,us-east-1,722876365627,4,6
flow-ext-fd74b404df624935,eni-12da2ea82f7d4ef9,169.156.230.102,40672,53,17,146,13362,1706886280,1706886717,REJECT,OK,egress,ap-southeast-1,241312449945,0,5
flow-ext-ae3e86c54c604630,eni-d985db541a4e4228,14.172.130.105,65105,53,6,666,58894,1708708516,1708709704,ACCEPT,NODATA,ingress,ap-southeast-1,339554291835,177,3
flow-ext-34a39997e4264b99,eni-0c74377836dc4a15,74.42.110.64,43157,5432,17,85,37056,1705256780,1705257519,REJECT,OK,ingress,ap-southeast-1,858514330441,0,3
flow-ext-7fdd2fd50c9a44b2,eni-3be82c2eb0a7475d,129.167.232.103,59670,110,17,161,51110,1708546576,1708548880,ACCEPT,SKIPDATA,egress,us-west-2,579966472785,0,4
flow-ext-2098ace338c84783,eni-29d55e37fcf34de6,154.189.250.176,36415,80,17,286,45897,1704559961,1704562677,ACCEPT,SKIPDATA,egress,ap-southeast-1,469412125855,0,5
flow-ext-4559a4b2aaba4b55,eni-a05a29f858dd4df7,165.217.93.17,53739,80,17,816,7284,1704990124,1704993167,REJECT,OK,egress,ap-southeast-1,130062211324,0,8
flow-ext-4ae4f61d9ab44d71,eni-b85e7475410342e0,196.95.186.17,0,0,1,936,18197,1704493196,1704493716,ACCEPT,SKIPDATA,egress,ap-southeast-1,703455883544,0,1
flow-ext-d4b3aaaf86534b62,eni-13f2c779d4eb4148,209.190.157.224,34824,110,17,289,43175,1705965825,1705968407,REJECT,OK,ingress,ap-southeast-1,951980215056,0,8
flow-ext-7b6eec37884e4ea0,eni-0b2bc61054b04330,14.172.130.105,51323,993,17,973,21194,1707979966,1707980316,ACCEPT,SKIPDATA,egress,us-west-2,442168689943,0,2
flow-ext-075e23db58724bf7,eni-ca0394e9913a4f67,210.239.152.72,0,0,1,461,52072,1706628572,1706631725,ACCEPT,OK,egress,ap-southeast-1,241260134670,0,5
flow-ext-deaf71bfe1f04a64,eni-286796f56e9b4651,150.130.218.196,34630,110,17,158,36245,1705033844,1705035252,ACCEPT,NODATA,ingress,us-west-2,779354956701,0,3
flow-ext-4e319e48670f4624,eni-e5015b56c91b4d1a,208.208.40.116,59689,25,17,44,39407,1704269198,1704271588,REJECT,OK,egress,ap-southeast-1,443631832444,0,3
flow-ext-9658fea7a6e940e8,eni-b4046c2cd2e445ee,164.199.166.131,56953,3389,6,834,27268,1706803371,1706805805,REJECT,SKIPDATA,egress,us-east-1,877133739732,128,6
flow-ext-45a3d662f58440c8,eni-8a31c11a04664771,165.217.93.17,39042,443,17,585,38945,1704382781,1704385517,ACCEPT,NODATA,ingress,us-west-2,734146898703,0,4
flow-ext-7ca1d61747004aac,eni-e0ca11f4042c4378,23.91.251.6,53596,22,6,312,59058,1706834732,1706836229,ACCEPT,SKIPDATA,egress,ap-southeast-1,813479066783,176,5
flow-ext-7cf4980f2eb54140,eni-de3e63b043c74c95,110.18.83.48,0,0,1,191,45703,1705718117,1705718330,REJECT,OK,egress,eu-north-1,834963540215,0,1
flow-ext-3dfde66a562a4ebe,eni-adc63e5ff5c44881,217.245.176.179,36707,5432,17,283,59855,1707112253,1707114679,ACCEPT,OK,egress,us-east-1,614191182356,0,3
flow-ext-42afa376b4554a4c,eni-375d5dbc703147ce,218.186.239.93,0,0,1,562,57562,1707109272,1707111852,REJECT,OK,egress,ap-southeast-1,976141337434,0,8
flow-ext-df9ac1785da941d7,eni-924343312e004c0c,185.74.57.181,0,0,1,832,1804,1704695049,1704698583,ACCEPT,OK,egress,ap-southeast-1,755430844877,0,4
flow-ext-9aaabf4293834af8,eni-63827a5c28d1428a,144.88.164.175,34769,3389,17,10,64806,1704766008,1704769213,ACCEPT,NODATA,ingress,us-east-1,477362858931,0,1
flow-ext-1dad14b82cde4044,eni-b4154575c7a44d85,173.57.131.92,0,0,1,96,23748,1705954671,1705958145,ACCEPT,OK,egress,ap-southeast-1,853593630292,0,1
flow-ext-cd5ba9b14d604831,eni-510a954540ea4a4e,176.202.164.170,64461,22,6,527,21863,1704416569,1704417101,REJECT,SKIPDATA,ingress,ap-southeast-1,670197027279,139,6
flow-ext-3398f09065ec43ef,eni-167d767a33dc4287,176.125.251.34,62330,3306,6,923,50295,1707821213,1707824186,ACCEPT,NODATA,ingress,us-west-2,537033489092,17,4
flow-ext-8704e6b7d61a4138,eni-b115c02c002f43f5,176.202.164.170,0,0,1,462,22482,1705276075,1705277170,ACCEPT,OK,ingress,eu-north-1,684685275294,0,1
