package,dependency
package_0,package_1
package_0,package_2
package_0,package_3
package_0,package_4
package_0,package_5
package_93,package_94
package_93,package_95
package_93,package_35
package_100,package_12
package_100,package_101
package_100,package_102
package_108,package_8
package_108,package_109
package_110,package_111
package_110,package_112
package_110,package_113
package_110,package_98
package_110,package_51
package_118,package_119
package_118,package_34
package_126,package_127
package_126,package_83
package_126,package_53
package_126,package_50
package_126,package_123
package_129,package_47
package_129,package_130
package_129,package_20
package_129,package_83
package_131,package_132
package_131,package_133
package_131,package_53
package_136,package_137
package_136,package_138
package_139,package_68
package_139,package_140
package_139,package_80
package_139,package_58
package_139,package_141
package_155,package_73
package_155,package_17
package_155,package_150
package_155,package_68
package_155,package_63
package_156,package_157
package_156,package_158
package_156,package_159
package_171,package_82
package_171,package_172
package_171,package_173
package_182,package_60
package_182,package_183
package_182,package_184
package_182,package_82
package_182,package_23
package_182,package_185
package_189,package_190
package_189,package_31
package_189,package_160
package_189,package_191
package_196,package_64
package_196,package_71
package_196,package_9
package_196,package_96
package_197,package_24
package_197,package_198
package_197,package_69
package_197,package_199
package_204,package_77
package_204,package_205
package_204,package_124
package_204,package_122
package_204,package_206
package_204,package_207
package_217,package_106
package_217,package_88
package_217,package_218
package_220,package_221
package_220,package_195
package_220,package_64
package_225,package_11
package_225,package_10
package_225,package_226
package_225,package_52
package_231,package_232
package_231,package_33
package_231,package_76
package_231,package_151
package_231,package_115
package_233,package_44
package_233,package_60
package_233,package_234
package_238,package_84
package_238,package_64
package_238,package_239
package_238,package_240
package_238,package_241
package_248,package_249
package_248,package_106
package_248,package_18
package_248,package_250
package_248,package_251
package_255,package_256
package_255,package_59
package_255,package_60
package_255,package_202
package_257,package_258
package_257,package_259
package_257,package_79
package_257,package_260
package_257,package_261
package_269,package_270
package_269,package_271
package_269,package_227
package_269,package_272
package_269,package_273
package_291,package_187
package_291,package_292
package_291,package_293
package_299,package_35
package_299,package_300
package_299,package_301
package_299,package_302
package_299,package_303
package_299,package_15
package_311,package_312
package_311,package_57
package_311,package_313
package_320,package_321
package_320,package_322
package_320,package_323
package_331,package_332
