name,weekly_downloads,last_publish
package_0,6183,2025-03-20T15:37:51.693350
package_93,8721,2026-02-21T15:37:51.694146
package_100,7845,2025-04-13T15:37:51.694209
package_108,7351,2025-06-30T15:37:51.694270
package_110,7252,2025-12-15T15:37:51.694286
package_118,7070,2025-09-11T15:37:51.694354
package_126,8790,2025-04-27T15:37:51.694411
package_129,8684,2026-01-05T15:37:51.694438
package_131,118,2025-05-13T15:37:51.694457
package_136,2423,2025-10-04T15:37:51.694500
package_139,2466,2025-07-22T15:37:51.694526
package_155,1140,2025-07-12T15:37:51.694678
package_156,438,2025-08-24T15:37:51.694690
package_171,1346,2025-09-18T15:37:51.694805
package_182,4631,2026-01-10T15:37:51.694889
package_189,7939,2026-01-08T15:37:51.694953
package_196,4426,2026-01-30T15:37:51.695014
package_197,3982,2025-08-07T15:37:51.695025
package_204,7047,2025-05-27T15:37:51.695085
package_217,3443,2025-09-23T15:37:51.695190
package_220,9386,2025-08-02T15:37:51.695212
package_225,6169,2025-07-29T15:37:51.695253
package_231,1965,2025-11-18T15:37:51.695307
package_233,8572,2025-09-06T15:37:51.695325
package_238,398,2025-11-07T15:37:51.695367
package_248,8023,2026-01-15T15:37:51.695456
package_255,7213,2026-02-18T15:37:51.695516
package_257,2437,2025-07-22T15:37:51.695535
package_269,8808,2025-11-04T15:37:51.695630
package_291,2946,2025-09-05T15:37:51.695799
package_299,4780,2025-06-11T15:37:51.695856
package_311,1753,2025-03-25T15:37:51.695949
package_320,4000,2026-02-03T15:37:51.696018
package_331,4208,2026-02-18T15:37:51.696133
package_339,9242,2025-09-02T15:37:51.696200
package_344,4162,2025-06-09T15:37:51.696240
package_358,195,2025-09-29T15:37:51.696362
package_365,4062,2025-10-18T15:37:51.696426
package_378,9333,2026-01-02T15:37:51.696532
package_386,5465,2025-06-19T15:37:51.696593
package_395,7563,2025-11-12T15:37:51.696669
package_405,9252,2026-01-07T15:37:51.696749
package_407,2270,2025-09-02T15:37:51.696769
package_412,1620,2025-05-29T15:37:51.696809
package_414,1404,2025-09-30T15:37:51.696823
package_422,6100,2025-08-04T15:37:51.696892
package_437,6060,2025-06-06T15:37:51.697004
package_440,1635,2025-10-08T15:37:51.697031
package_450,6075,2025-05-20T15:37:51.697106
package_458,8790,2025-05-04T15:37:51.697174
package_1,3636,2026-01-31T15:37:51.693404
package_2,3958,2025-11-03T15:37:51.693414
package_3,6193,2025-07-26T15:37:51.693420
package_4,7867,2025-09-14T15:37:51.693425
package_5,1376,2025-07-25T15:37:51.693429
package_6,5913,2025-09-05T15:37:51.693440
package_7,8282,2026-03-03T15:37:51.693445
package_8,3875,2025-04-14T15:37:51.693453
package_9,434,2025-04-15T15:37:51.693457
package_10,2101,2025-07-30T15:37:51.693461
package_11,3059,2026-02-11T15:37:51.693470
package_12,622,2025-10-29T15:37:51.693474
package_13,3490,2026-02-24T15:37:51.693479
package_14,429,2026-02-06T15:37:51.693486
package_15,1856,2025-04-13T15:37:51.693489
package_16,4493,2025-07-15T15:37:51.693497
package_17,8842,2025-04-10T15:37:51.693501
package_18,2526,2026-02-26T15:37:51.693508
package_19,9529,2026-01-27T15:37:51.693515
package_20,4946,2025-03-23T15:37:51.693521
package_21,795,2025-05-29T15:37:51.693525
package_22,7736,2025-06-23T15:37:51.693533
package_23,682,2025-08-22T15:37:51.693539
package_24,9265,2025-04-20T15:37:51.693546
package_25,4102,2025-06-26T15:37:51.693550
package_26,4243,2025-05-10T15:37:51.693606
package_27,3481,2025-10-25T15:37:51.693613
package_28,8319,2025-08-20T15:37:51.693623
package_29,3444,2025-11-12T15:37:51.693631
package_30,1537,2025-10-30T15:37:51.693637
package_31,9573,2025-04-23T15:37:51.693644
package_32,4967,2025-12-09T15:37:51.693652
package_33,6029,2026-03-15T15:37:51.693659
package_34,3139,2025-03-19T15:37:51.693666
package_35,8114,2025-09-01T15:37:51.693673
package_36,8454,2025-10-03T15:37:51.693681
package_37,4280,2025-08-14T15:37:51.693688
package_38,6161,2025-06-09T15:37:51.693694
package_39,7561,2026-01-13T15:37:51.693702
package_40,3309,2025-10-30T15:37:51.693709
package_41,6319,2025-12-10T15:37:51.693717
package_42,7055,2026-02-20T15:37:51.693724
package_43,9069,2025-06-01T15:37:51.693731
package_44,5217,2025-04-06T15:37:51.693737
package_45,6326,2026-01-01T15:37:51.693744
package_46,5318,2025-10-11T15:37:51.693755
package_47,9850,2025-06-20T15:37:51.693763
package_48,7582,2026-03-10T15:37:51.693771
package_49,6281,2025-10-15T15:37:51.693777
package_50,9808,2025-05-07T15:37:51.693785
package_51,9425,2026-01-22T15:37:51.693792
package_52,3317,2026-02-25T15:37:51.693798
package_53,7177,2025-10-11T15:37:51.693806
package_54,3504,2025-07-01T15:37:51.693814
package_55,526,2025-03-20T15:37:51.693820
package_56,9811,2026-01-03T15:37:51.693827
package_57,1777,2025-05-02T15:37:51.693833
package_58,3308,2025-09-12T15:37:51.693841
package_59,5226,2025-05-19T15:37:51.693849
package_60,9951,2025-10-01T15:37:51.693856
package_61,2432,2025-07-23T15:37:51.693862
package_62,6795,2025-11-20T15:37:51.693870
package_63,8033,2025-07-30T15:37:51.693879
package_64,1111,2025-05-08T15:37:51.693885
package_65,9772,2025-12-30T15:37:51.693895
package_66,1222,2025-10-17T15:37:51.693905
package_67,8310,2025-10-22T15:37:51.693913
package_68,8633,2025-09-26T15:37:51.693921
package_69,3826,2026-01-02T15:37:51.693928
package_70,7834,2025-06-29T15:37:51.693934
package_71,2732,2026-02-20T15:37:51.693942
package_72,9393,2025-04-23T15:37:51.693951
package_73,9333,2025-09-19T15:37:51.693957
package_74,5466,2025-03-22T15:37:51.693966
package_75,9073,2025-09-10T15:37:51.693975
package_76,1905,2025-09-27T15:37:51.693981
package_77,8623,2025-11-22T15:37:51.693987
package_78,6998,2025-04-09T15:37:51.693993
package_79,9618,2025-06-09T15:37:51.694000
package_80,8738,2025-08-26T15:37:51.694011
package_81,1678,2025-09-30T15:37:51.694021
package_82,4774,2026-03-11T15:37:51.694027
package_83,9857,2025-11-27T15:37:51.694041
package_84,7410,2025-09-27T15:37:51.694050
package_85,2631,2025-12-10T15:37:51.694059
package_86,5369,2025-07-24T15:37:51.694065
package_87,2375,2025-12-12T15:37:51.694074
package_88,7746,2025-05-14T15:37:51.694086
