service,dependency
backend,package_118
backend,package_311
backend,package_204
backend,package_93
backend,package_136
backend,package_331
backend,package_269
backend,package_386
web_server,package_405
web_server,package_171
web_server,package_386
web_server,package_155
web_server,package_291
web_server,package_220
web_server,package_197
web_server,package_440
payment,package_365
payment,package_171
payment,package_231
payment,package_118
payment,package_255
payment,package_0
payment,package_189
payment,package_257
payment,package_93
payment,package_405
auth,package_136
auth,package_437
auth,package_110
auth,package_291
auth,package_233
auth,package_412
database,package_231
database,package_344
database,package_405
database,package_440
database,package_189
database,package_118
database,package_233
database,package_407
database,package_204
database,package_220
dns,package_139
dns,package_378
dns,package_405
dns,package_320
dns,package_217
dns,package_155
dns,package_197
dns,package_291
dns,package_339
cache,package_412
cache,package_299
cache,package_129
cache,package_407
cache,package_225
cache,package_378
cache,package_93
cache,package_405
cache,package_339
internal,package_233
internal,package_405
internal,package_189
internal,package_395
internal,package_378
internal,package_458
internal,package_414
api,package_458
api,package_407
api,package_108
api,package_139
api,package_291
api,package_378
api,package_299
api,package_93
api,package_126
deploy,package_299
deploy,package_108
deploy,package_217
deploy,package_100
deploy,package_311
deploy,package_136
deploy,package_118
deploy,package_437
deploy,package_248
deploy,package_344
