ID,GroupID,PersonID
1,79,241
2,83,146
3,85,633
4,53,312
5,25,348
6,89,294
7,99,562
8,54,476
9,23,881
10,99,12
11,4,508
12,64,798
13,77,556
14,43,308
15,100,410
16,13,373
17,88,449
18,59,391
19,35,82
20,40,434
21,59,819
22,31,586
23,19,247
24,57,493
25,77,256
26,63,221
27,13,98
28,77,323
29,44,599
30,86,24
31,47,705
32,73,403
33,89,580
34,14,602
35,33,81
36,57,916
37,88,187
38,92,653
39,45,820
40,92,293
41,63,686
42,17,997
43,59,700
44,21,752
45,95,862
46,85,199
47,49,49
48,90,617
49,98,560
50,85,828
51,10,377
52,23,423
53,30,542
54,98,850
55,43,14
56,38,461
57,61,712
58,12,233
59,9,760
60,38,556
61,44,233
62,88,77
63,28,38
64,95,626
65,7,894
66,12,547
67,100,259
68,22,628
69,24,582
70,35,920
71,23,810
72,4,938
73,55,865
74,83,743
75,65,628
76,93,485
77,46,300
78,39,971
79,39,754
80,73,399
81,36,615
82,83,49
83,14,451
84,96,143
85,44,210
86,73,344
87,75,716
88,57,895
89,52,827
90,55,752
91,91,917
92,94,248
93,13,299
94,9,165
95,83,122
96,21,671
97,43,279
98,58,62
99,23,842
100,73,951
101,95,173
102,4,464
103,55,747
104,2,713
105,36,225
106,99,3
107,84,321
108,100,785
109,72,962
110,18,578
111,27,330
112,61,917
113,50,125
114,30,320
115,47,912
116,100,790
117,17,691
118,81,962
119,11,29
120,15,279
121,65,805
122,97,372
123,59,350
124,99,621
125,7,138
126,16,747
127,43,932
128,41,205
129,100,319
130,34,141
131,65,401
132,9,643
133,1,308
134,53,747
135,3,783
136,6,980
137,95,260
138,14,856
139,89,786
140,63,945
141,43,26
142,8,982
143,47,481
144,46,911
145,12,784
146,2,340
147,85,298
148,89,558
149,10,470
150,69,150
151,21,908
152,83,321
153,66,761
154,57,1
155,11,548
156,92,115
157,14,932
158,94,53
159,13,391
160,75,969
161,78,371
162,2,817
163,44,5
164,92,175
165,28,592
166,28,938
167,96,930
168,93,636
169,38,654
170,77,595
171,82,875
172,30,887
173,53,23
174,93,751
175,65,958
176,100,750
177,47,520
178,66,942
179,83,558
180,6,29
181,6,191
182,52,203
183,66,324
184,60,8
185,89,349
186,78,830
187,15,41
188,45,124
189,59,403
190,87,372
191,70,379
192,47,213
193,92,236
194,17,123
195,38,194
196,36,71
197,36,195
198,56,895
199,49,61
200,81,899
201,31,94
202,74,890
203,86,593
204,90,857
205,33,127
206,16,931
207,31,791
208,35,752
209,79,189
210,49,852
211,20,239
212,33,307
213,18,401
214,24,312
215,81,80
216,83,628
217,35,686
218,30,308
219,13,699
220,10,271
221,13,243
222,54,623
223,44,617
224,1,360
225,1,205
226,14,581
227,69,859
228,26,564
229,60,976
230,50,656
231,30,19
232,23,229
233,59,502
234,23,121
235,76,501
236,98,611
237,42,127
238,51,740
239,25,312
240,53,983
241,28,54
242,86,583
243,67,845
244,40,304
245,57,685
246,93,873
247,61,648
248,38,49
249,82,186
250,14,629
251,37,891
252,48,780
253,41,572
254,33,797
255,10,1000
256,8,788
257,11,688
258,1,476
259,50,880
260,56,338
261,43,832
262,49,804
263,51,997
264,29,144
265,86,392
266,56,510
267,92,70
268,56,430
269,97,833
270,64,124
271,87,446
272,52,664
273,51,62
274,61,392
275,51,844
276,69,609
277,9,359
278,43,266
279,87,27
280,13,441
281,10,89
282,43,968
283,43,79
284,98,657
285,85,403
286,84,97
287,26,871
288,78,592
289,28,794
290,86,266
291,87,578
292,34,535
293,71,124
294,10,600
295,11,378
296,44,829
297,39,653
298,80,67
299,73,436
300,19,590
301,1,712
302,28,526
303,17,850
304,78,712
305,96,967
306,89,187
307,80,289
308,98,328
309,50,196
310,94,972
311,47,237
312,85,385
313,5,911
