id,material_id,factory_id
57,89,18
114,127,8
182,429,35
403,138,3
473,179,17
597,106,19
614,64,27
675,56,24
848,53,42
909,191,50
952,122,9
35,48,6
279,312,7
657,442,27
754,77,9
776,431,20
835,260,38
932,377,2
544,50,43
970,117,46
26,259,35
141,404,34
189,483,30
418,482,39
628,229,30
861,317,35
902,450,21
451,351,41
539,158,50
623,275,18
668,347,9
756,54,49
784,253,4
211,441,49
306,340,12
308,211,10
608,43,31
920,317,47
24,362,4
133,35,24
300,47,31
359,115,43
400,328,44
790,161,27
126,99,39
149,180,44
214,52,28
254,64,2
380,466,2
605,499,14
649,378,46
697,16,14
881,158,44
77,343,35
423,254,48
459,157,5
498,17,22
617,18,46
679,246,12
720,195,2
828,30,21
49,218,36
78,304,21
319,289,11
439,449,20
493,376,8
528,429,31
545,82,4
587,374,1
690,8,48
714,498,21
915,466,6
921,317,3
939,238,38
958,183,2
268,411,38
393,98,5
820,417,25
841,286,46
850,275,41
879,493,19
892,445,14
953,134,19
961,328,6
966,402,15
974,43,21
203,116,9
435,122,3
701,134,30
742,346,39
751,380,50
785,367,12
99,71,4
413,280,32
846,352,5
912,168,32
453,144,47
586,470,22
595,372,2
654,399,40
708,7,34
110,426,38
170,290,2
303,270,25
422,88,6
656,95,10
703,272,34
865,273,11
919,465,8
40,106,26
155,244,37
313,242,11
343,306,45
441,241,20
514,172,35
662,111,42
747,250,40
768,280,39
948,286,3
34,42,19
246,166,14
563,143,43
818,328,40
822,320,41
917,374,46
75,252,34
136,165,21
721,481,31
895,151,9
96,479,33
108,106,49
151,166,22
290,455,37
458,90,35
669,136,29
859,423,21
924,160,13
50,409,2
199,367,5
236,220,41
250,296,10
471,418,17
603,386,43
627,296,35
732,334,39
795,342,50
829,309,11
830,265,33
904,410,10
914,218,3
62,204,4
85,110,33
394,392,50
554,406,22
666,400,34
730,181,31
894,129,12
262,259,15
593,118,29
47,440,49
229,203,45
392,260,39
436,170,2
719,105,13
7,310,41
74,179,27
314,385,31
322,383,13
579,40,45
650,150,37
693,393,18
707,191,26
716,368,35
723,80,30
959,96,29
9,281,24
176,270,45
295,451,43
318,419,41
349,90,29
425,252,6
507,190,6
600,469,5
632,320,32
725,373,11
866,188,3
25,13,11
52,344,16
138,347,47
232,397,39
449,177,10
506,5,36
815,359,50
844,384,32
942,200,12
