id,materialid,locationid,quantity,lastupdated,status
1,34,3,632,2024-04-16 10:23:36.042434,in stock
2,487,37,559,2023-09-22 10:23:36.042434,in stock
3,479,73,189,2024-05-18 10:23:36.042434,in stock
4,289,16,120,2023-10-02 10:23:36.042434,in stock
5,356,60,739,2024-01-11 10:23:36.042434,in stock
6,351,12,924,2023-12-17 10:23:36.042434,in stock
7,337,33,530,2024-01-17 10:23:36.042434,in stock
8,368,87,619,2023-10-26 10:23:36.042434,in stock
9,368,93,605,2024-04-24 10:23:36.042434,in stock
10,64,42,789,2024-03-08 10:23:36.042434,in stock
11,318,5,913,2024-01-27 10:23:36.042434,in stock
12,490,60,184,2023-12-19 10:23:36.042434,in stock
13,139,32,463,2023-12-23 10:23:36.042434,in stock
14,358,67,945,2024-03-15 10:23:36.042434,in stock
15,75,59,723,2024-02-17 10:23:36.042434,in stock
16,427,24,621,2023-11-19 10:23:36.042434,in stock
17,66,25,567,2024-03-09 10:23:36.042434,in stock
18,220,67,174,2024-04-04 10:23:36.042434,in stock
19,180,82,174,2023-06-25 10:23:36.042434,in stock
20,466,65,76,2023-10-31 10:23:36.042434,in stock
21,348,18,856,2024-05-14 10:23:36.042434,in stock
22,52,63,903,2024-03-09 10:23:36.042434,in stock
23,187,30,772,2023-11-28 10:23:36.042434,in stock
24,97,77,535,2024-02-19 10:23:36.042434,in stock
25,450,18,788,2024-02-02 10:23:36.042434,in stock
26,380,44,33,2023-07-26 10:23:36.042434,in stock
27,252,8,157,2024-01-04 10:23:36.042434,in stock
28,209,67,812,2024-04-09 10:23:36.042434,in stock
29,444,63,533,2024-03-10 10:23:36.042434,in stock
30,204,3,277,2023-06-16 10:23:36.042434,in stock
31,198,67,124,2024-05-13 10:23:36.042434,in stock
32,2,34,153,2023-07-28 10:23:36.042434,in stock
33,493,20,589,2024-01-03 10:23:36.042434,in stock
34,29,73,201,2023-12-17 10:23:36.042434,in stock
35,358,23,258,2023-10-06 10:23:36.042434,in stock
36,298,54,529,2023-09-22 10:23:36.042434,in stock
37,468,86,669,2024-02-19 10:23:36.042434,in stock
38,220,5,531,2023-11-11 10:23:36.042434,in stock
39,230,58,192,2023-07-11 10:23:36.042434,in stock
40,199,86,341,2024-05-10 10:23:36.042434,in stock
41,293,23,956,2024-02-05 10:23:36.042434,in stock
42,306,86,375,2023-06-11 10:23:36.042434,in stock
43,113,7,956,2024-02-18 10:23:36.042434,in stock
44,384,65,232,2023-10-19 10:23:36.042434,in stock
45,342,18,404,2023-06-28 10:23:36.042434,in stock
46,326,16,911,2023-07-06 10:23:36.042434,in stock
47,496,95,303,2023-11-23 10:23:36.042434,in stock
48,45,18,910,2023-12-12 10:23:36.042434,in stock
49,342,8,551,2024-04-03 10:23:36.042434,in stock
50,407,75,537,2024-01-27 10:23:36.042434,in stock
51,490,52,400,2024-03-16 10:23:36.042434,in stock
52,38,92,219,2023-09-24 10:23:36.042434,in stock
53,150,12,115,2023-10-25 10:23:36.042434,in stock
54,433,38,514,2024-04-11 10:23:36.042434,in stock
55,21,16,756,2023-06-23 10:23:36.042434,in stock
56,473,44,565,2023-09-26 10:23:36.042434,in stock
57,292,42,651,2023-07-18 10:23:36.042434,in stock
58,478,50,166,2023-12-20 10:23:36.042434,in stock
