id,productid,materialid,quantity
101,83,152,67
102,189,111,76
103,88,355,77
104,275,277,86
105,210,86,44
106,217,23,71
107,66,120,64
108,149,20,15
109,298,75,64
110,166,442,68
111,299,464,74
112,23,136,61
113,32,396,62
114,230,322,88
115,98,125,77
116,136,412,34
117,76,268,19
118,152,1,98
119,139,174,38
120,22,303,64
121,209,185,44
122,225,42,35
123,115,353,47
124,224,275,21
125,257,362,53
126,120,205,10
127,4,306,52
128,35,163,30
129,276,29,34
130,99,408,58
131,225,412,17
132,146,110,9
133,21,483,86
134,165,89,89
135,73,486,34
136,286,269,57
137,43,490,52
138,247,390,5
139,253,391,43
140,52,54,78
141,6,373,69
142,31,191,26
143,89,327,20
144,161,436,88
145,118,318,54
146,24,276,55
147,230,409,91
148,204,111,95
149,47,135,81
150,108,291,35
151,66,404,54
152,11,377,77
153,203,78,81
154,65,116,54
155,210,364,33
156,251,185,30
157,244,452,10
158,193,47,8
159,215,91,18
160,270,93,4
161,118,432,54
162,93,95,51
163,16,246,32
164,2,365,70
165,232,324,50
166,231,11,41
167,279,82,85
168,113,89,57
169,72,198,12
170,28,304,71
171,127,35,84
172,297,37,77
173,102,123,26
174,58,455,94
175,201,486,56
176,67,51,26
177,265,264,93
178,240,364,66
179,250,404,9
180,51,302,85
181,51,189,44
182,125,11,50
183,33,414,86
184,99,382,9
185,169,323,40
186,57,22,97
187,63,125,5
188,163,42,22
189,282,72,16
190,37,314,32
191,65,7,64
192,107,484,52
193,53,479,31
194,121,54,28
195,95,369,25
196,117,170,75
197,138,354,43
198,20,102,32
199,245,241,29
200,195,282,22
502,202,322,26
503,165,451,93
504,263,233,37
505,51,43,62
506,134,366,60
507,35,459,9
508,199,462,24
509,73,385,84
510,64,100,17
511,226,165,42
512,198,159,73
513,27,499,6
514,131,244,56
515,215,352,31
516,49,239,82
517,279,140,8
518,271,20,64
519,230,78,97
520,67,235,26
521,78,321,66
522,143,161,74
523,270,16,46
524,37,301,63
525,41,191,68
526,161,469,18
527,218,181,70
528,28,216,38
529,208,237,4
530,262,28,67
531,280,435,68
532,230,477,65
533,181,342,80
534,194,135,30
535,114,318,67
536,216,42,99
537,221,35,9
538,115,203,25
539,193,150,88
540,169,357,61
541,257,436,26
542,243,263,89
543,68,335,54
544,35,130,14
545,27,416,97
546,27,47,37
547,223,451,48
548,282,172,95
549,224,377,53
550,35,83,5
551,111,175,44
552,256,210,45
553,287,238,54
554,174,345,85
555,1,81,43
556,19,349,40
557,161,178,99
558,255,347,67
559,294,195,58
560,96,5,12
561,110,392,85
562,204,299,84
563,239,39,74
564,156,334,51
565,181,309,18
566,67,162,33
567,119,494,70
568,162,470,45
569,139,372,1
570,44,369,71
571,283,159,26
572,252,76,28
573,150,230,40
574,137,74,56
575,181,433,58
576,44,57,6
577,200,485,60
578,241,204,76
579,211,261,59
580,180,2,32
581,93,226,79
582,298,417,32
583,38,63,87
584,300,225,50
585,212,485,6
586,144,49,59
587,249,110,13
588,149,490,64
589,212,211,9
590,114,274,2
591,295,84,11
592,100,189,61
593,249,175,62
594,64,477,19
595,220,486,88
596,244,289,59
597,211,8,37
598,16,407,7
599,260,9,86
600,54,449,61
601,147,252,5
902,11,393,70
903,139,56,8
904,186,474,67
905,147,38,40
906,107,165,52
907,185,307,48
908,99,407,35
909,107,135,84
910,2,86,45
911,268,69,69
912,56,231,26
913,107,64,7
914,31,431,1
915,148,377,21
916,26,444,91
917,155,483,38
918,47,207,75
919,38,224,14
920,147,62,14
921,47,264,12
922,197,289,54
923,68,331,55
301,152,434,39
302,221,410,64
303,229,148,99
304,246,73,14
305,239,427,63
306,6,486,58
307,115,457,91
308,257,122,82
309,228,414,82
310,277,28,91
311,179,69,14
312,46,482,81
313,218,352,92
314,78,189,85
315,140,14,68
316,137,483,47
317,113,186,61
318,182,351,50
319,22,332,14
320,41,37,97
321,141,419,99
322,47,436,34
323,57,16,95
324,4,183,82
325,151,40,32
326,218,39,19
327,148,285,48
328,278,407,84
329,283,75,55
330,292,92,46
331,112,372,2
332,147,375,49
333,193,350,73
334,177,150,45
335,123,206,57
336,12,169,52
337,277,391,30
338,116,348,11
339,170,144,40
340,59,78,17
341,131,441,2
342,77,17,58
343,274,376,54
344,217,252,57
345,153,6,32
346,147,417,56
347,207,340,49
348,209,438,8
349,196,278,42
350,278,415,81
351,221,460,4
352,73,251,59
353,11,355,35
354,244,212,1
355,190,79,81
356,203,487,82
357,210,261,24
358,194,489,81
359,79,63,94
360,137,106,14
361,205,310,28
362,77,110,9
363,181,92,41
364,286,373,8
365,253,280,15
366,4,421,73
367,232,409,56
368,194,235,31
369,276,157,60
370,120,321,83
371,176,414,81
372,271,83,44
373,156,402,52
374,57,324,34
375,127,98,40
376,249,55,6
377,76,39,50
378,91,302,99
379,291,424,18
380,198,15,34
381,115,142,87
382,93,271,14
383,124,33,4
384,263,299,9
385,219,379,71
386,27,155,50
387,191,276,70
388,234,320,81
389,104,17,61
390,43,135,22
391,225,489,17
392,280,283,69
393,120,282,21
394,93,396,79
395,297,23,3
396,245,158,91
397,1,472,84
398,21,5,97
399,209,179,65
400,158,142,1
702,226,14,76
703,290,354,75
704,270,461,55
705,55,40,94
706,180,192,2
707,54,372,65
708,167,66,88
709,241,227,73
710,37,316,85
711,39,180,89
712,62,120,80
713,49,449,50
714,169,149,87
715,256,268,34
716,11,123,69
717,294,391,65
718,152,394,34
719,110,386,81
720,164,330,74
721,127,138,5
722,284,468,40
723,1,314,63
724,91,320,59
725,284,290,16
726,156,52,16
727,235,230,28
728,198,298,10
729,134,54,14
730,174,142,8
731,209,448,59
732,157,47,20
733,296,248,84
734,106,181,11
735,162,420,52
736,63,196,78
737,30,246,11
738,246,11,54
739,72,37,76
740,57,480,71
741,90,39,88
742,250,344,87
743,288,188,36
744,181,157,77
745,65,455,2
746,108,405,61
747,39,90,93
748,187,6,98
749,23,90,96
750,77,284,36
751,115,304,47
752,272,16,84
753,121,488,57
754,25,497,28
755,77,242,13
756,128,308,5
757,209,274,37
758,161,80,76
759,22,371,56
760,220,464,47
761,299,97,47
762,210,15,12
763,58,12,59
764,112,256,45
765,198,77,48
766,247,434,70
767,182,58,98
768,126,109,64
769,47,164,76
770,298,110,63
771,131,364,86
772,8,470,26
773,182,134,23
774,24,241,10
775,38,477,76
776,33,175,39
777,165,276,38
778,20,148,14
779,193,373,24
780,109,248,83
781,101,257,30
782,82,200,35
783,261,97,71
784,68,87,22
785,3,344,66
786,114,444,82
787,291,141,75
788,114,197,52
789,32,292,11
790,278,384,32
791,53,156,9
792,219,398,1
793,92,477,51
794,247,244,62
795,147,442,23
796,159,212,61
797,211,374,56
798,260,408,1
799,166,312,88
800,183,304,98
801,269,215,26
1,113,204,13
2,174,154,4
3,39,317,34
4,284,116,87
5,3,169,56
6,244,240,93
7,251,255,6
8,102,322,5
9,126,153,33
10,206,135,2
11,122,141,75
12,234,176,40
13,162,210,28
14,98,160,64
15,7,24,54
16,236,21,7
17,277,27,38
18,47,373,95
19,286,106,56
20,100,237,29
21,189,455,2
22,181,51,30
23,183,93,30
24,261,475,63
25,295,182,64
26,62,153,25
27,118,49,77
28,161,7,5
29,57,276,3
30,33,431,47
31,171,166,81
32,136,371,85
33,269,181,76
34,28,390,76
35,32,265,39
36,166,186,87
37,10,326,56
38,207,106,84
39,147,193,41
40,57,444,91
41,21,66,42
42,289,372,21
43,86,61,98
44,70,294,59
45,198,457,42
46,21,328,94
47,18,96,34
48,156,353,72
49,52,463,86
50,258,38,10
51,124,274,58
52,48,172,29
53,34,363,89
54,161,495,36
55,144,101,92
56,21,361,49
57,287,22,59
58,260,96,92
59,39,276,26
60,62,127,20
61,130,439,94
62,213,427,20
63,143,454,36
64,182,488,83
65,282,448,2
66,177,225,34
67,151,359,74
68,206,456,6
69,83,34,52
70,3,210,42
71,43,466,99
72,20,252,31
73,120,11,31
74,243,300,94
75,158,349,12
76,274,65,30
77,264,23,50
78,139,284,84
79,173,398,22
80,222,347,89
81,87,371,24
82,265,199,79
83,137,343,70
84,211,436,7
85,214,486,46
86,90,83,58
87,184,376,10
88,243,193,34
89,53,390,45
90,75,201,64
91,270,136,28
92,220,93,27
93,138,81,40
94,274,109,68
95,56,349,73
96,171,440,49
