id,productid,customerid,quantity,saledate,totalprice
101,184,280,9,2023-06-20 10:23:36.036454,784.456968495248
102,131,114,3,2024-02-05 10:23:36.036454,952.439172878384
103,137,315,5,2024-02-08 10:23:36.036454,582.83718355409
104,291,464,3,2023-12-18 10:23:36.036454,683.374280947392
105,238,138,3,2024-02-28 10:23:36.036454,760.641871735934
106,87,411,6,2023-10-17 10:23:36.036454,860.11201678399
107,291,435,9,2024-01-04 10:23:36.036454,194.378805504399
108,150,293,1,2024-01-23 10:23:36.036454,249.959718688757
109,206,153,2,2024-01-31 10:23:36.036454,699.747536689615
110,140,313,8,2023-11-22 10:23:36.036454,411.014094494783
111,46,202,7,2024-05-08 10:23:36.036454,641.693390529745
112,291,128,2,2024-03-12 10:23:36.036454,75.6142033408211
113,188,271,2,2023-10-09 10:23:36.036454,339.31374574396
114,200,330,4,2024-03-19 10:23:36.036454,798.570783244433
115,92,39,7,2023-11-11 10:23:36.036454,477.768308360572
116,87,77,6,2024-05-08 10:23:36.036454,346.262849586685
117,240,366,7,2023-10-07 10:23:36.036454,61.0751638236189
118,5,140,1,2024-02-05 10:23:36.036454,183.713281328987
119,13,132,3,2023-11-09 10:23:36.036454,432.911804699236
120,85,52,2,2024-04-26 10:23:36.036454,805.454858673031
121,178,399,2,2023-10-06 10:23:36.036454,899.716129680707
122,16,294,3,2023-10-10 10:23:36.036454,573.292921088229
123,92,384,7,2023-10-30 10:23:36.036454,958.71515731644
124,130,166,5,2024-02-10 10:23:36.036454,233.373554935067
125,199,386,1,2024-02-06 10:23:36.036454,237.387038149544
126,1,297,8,2023-11-09 10:23:36.036454,869.534914716249
127,76,139,9,2023-07-24 10:23:36.036454,410.953543281274
128,106,404,7,2024-03-19 10:23:36.036454,834.937849815905
129,85,436,7,2024-04-04 10:23:36.036454,773.444292903924
130,258,335,9,2024-02-22 10:23:36.036454,461.95264528711
131,200,237,2,2023-09-05 10:23:36.036454,46.884961619365
132,231,85,8,2023-07-30 10:23:36.036454,745.742527997714
133,47,392,2,2023-08-31 10:23:36.036454,502.209111606126
134,26,495,1,2024-03-20 10:23:36.036454,400.381714233565
135,82,46,4,2024-02-28 10:23:36.036454,997.411037725691
136,299,402,7,2024-02-04 10:23:36.036454,225.956931636098
137,60,74,5,2024-03-21 10:23:36.036454,386.916248407172
138,176,83,2,2023-09-14 10:23:36.036454,741.705362533506
139,25,438,9,2023-07-17 10:23:36.036454,549.911726245415
140,66,162,3,2023-11-20 10:23:36.036454,973.599658214597
141,142,448,4,2023-12-11 10:23:36.036454,912.048039238216
142,107,27,6,2023-10-22 10:23:36.036454,64.1887408590127
143,244,256,1,2024-02-14 10:23:36.036454,557.310637343021
144,192,220,1,2024-02-04 10:23:36.036454,834.72288435497
145,127,333,7,2024-04-05 10:23:36.036454,815.683404923056
146,291,164,2,2023-09-05 10:23:36.036454,556.285562213895
147,30,251,8,2023-11-19 10:23:36.036454,272.787129168854
148,79,59,9,2023-09-20 10:23:36.036454,371.800713851107
149,91,281,6,2024-01-12 10:23:36.036454,693.267026083648
150,94,189,3,2023-09-04 10:23:36.036454,442.517827024391
151,170,193,2,2024-03-25 10:23:36.036454,12.6570334148683
152,204,238,6,2023-10-01 10:23:36.036454,118.22933483897
153,97,156,5,2024-05-13 10:23:36.036454,21.8088693655869
154,174,261,6,2024-05-18 10:23:36.036454,559.319384386101
155,205,266,7,2023-11-09 10:23:36.036454,933.241874923882
156,60,442,7,2023-10-19 10:23:36.036454,400.39269315493
157,41,422,3,2023-10-30 10:23:36.036454,293.598835978158
158,167,478,8,2024-03-31 10:23:36.036454,193.733663278103
159,91,473,2,2023-11-22 10:23:36.036454,76.0717636902739
160,26,417,3,2023-11-19 10:23:36.036454,111.16659688834
161,170,356,3,2023-12-15 10:23:36.036454,965.163327880955
162,189,420,6,2024-04-18 10:23:36.036454,385.12841848613
163,164,281,3,2023-10-12 10:23:36.036454,149.382564235534
164,113,246,8,2023-06-23 10:23:36.036454,519.641564413979
165,263,395,9,2023-12-20 10:23:36.036454,401.539346018606
166,132,343,3,2024-01-25 10:23:36.036454,887.851246275021
167,42,279,6,2023-05-28 10:23:36.036454,195.570566350399
168,133,218,6,2024-04-08 10:23:36.036454,164.253906507783
169,94,175,6,2023-06-23 10:23:36.036454,187.21754777588
170,281,13,3,2023-06-27 10:23:36.036454,367.789119103876
171,214,183,5,2023-11-04 10:23:36.036454,830.552105974781
172,141,234,1,2023-09-23 10:23:36.036454,336.877676570452
173,129,336,4,2024-05-13 10:23:36.036454,320.607463249043
174,127,365,1,2024-01-02 10:23:36.036454,71.6085121643392
175,124,107,7,2023-06-25 10:23:36.036454,970.29041466832
176,9,280,7,2023-12-08 10:23:36.036454,655.331464587191
177,168,499,4,2024-04-28 10:23:36.036454,976.194246052592
178,288,470,1,2024-03-10 10:23:36.036454,146.397322148509
179,127,192,6,2024-01-15 10:23:36.036454,313.175276475015
180,227,90,3,2024-02-21 10:23:36.036454,934.407015280001
181,185,374,3,2023-08-06 10:23:36.036454,810.650674350215
182,91,6,5,2024-05-17 10:23:36.036454,682.681366254606
183,73,222,3,2024-03-17 10:23:36.036454,690.64708592616
184,154,264,2,2023-08-30 10:23:36.036454,918.614752104492
185,39,3,7,2024-03-03 10:23:36.036454,87.1530853714845
186,163,156,3,2024-03-11 10:23:36.036454,800.960919985018
187,170,48,4,2023-06-01 10:23:36.036454,452.73483467006
188,89,185,1,2023-09-24 10:23:36.036454,397.612168203978
189,227,127,8,2024-05-02 10:23:36.036454,879.133153440674
190,118,461,8,2024-04-20 10:23:36.036454,796.514503159908
191,121,304,2,2023-07-21 10:23:36.036454,451.464724669089
192,2,17,2,2024-02-04 10:23:36.036454,792.441838984373
193,243,138,5,2023-06-18 10:23:36.036454,900.469935749659
194,263,240,5,2023-12-23 10:23:36.036454,960.82457225697
195,139,22,8,2023-11-13 10:23:36.036454,990.571742269471
196,17,348,3,2023-07-10 10:23:36.036454,58.4638813505169
197,17,127,9,2023-10-22 10:23:36.036454,421.87118881719
198,249,313,4,2024-03-02 10:23:36.036454,545.098031972008
199,195,486,3,2023-10-20 10:23:36.036454,750.578975992644
200,101,412,6,2024-02-23 10:23:36.036454,896.544783345326
502,62,364,8,2024-03-30 10:23:36.036454,896.370256317925
503,42,317,3,2024-04-06 10:23:36.036454,47.8134117407071
504,293,216,1,2023-07-18 10:23:36.036454,269.055635194925
505,70,138,4,2023-07-20 10:23:36.036454,621.100588829259
506,223,486,7,2023-11-18 10:23:36.036454,281.739088518996
507,64,345,1,2024-01-19 10:23:36.036454,807.67199563026
508,112,123,6,2023-06-16 10:23:36.036454,599.736862332795
509,245,413,6,2023-09-11 10:23:36.036454,331.222272509468
510,43,418,6,2023-05-28 10:23:36.036454,135.113727304929
511,294,367,6,2023-10-13 10:23:36.036454,751.076247560333
512,210,262,2,2023-10-19 10:23:36.036454,593.448962940602
513,195,230,3,2024-04-22 10:23:36.036454,201.031208655453
514,137,39,6,2023-06-30 10:23:36.036454,664.562129914458
515,35,187,4,2024-03-29 10:23:36.036454,793.056172419568
516,150,74,8,2023-12-30 10:23:36.036454,171.189257876826
517,11,489,8,2024-01-01 10:23:36.036454,163.428139560499
518,84,319,6,2024-01-14 10:23:36.036454,305.57576375532
519,116,442,1,2023-06-29 10:23:36.036454,414.638841957222
520,249,191,8,2023-09-04 10:23:36.036454,560.653209325961
521,26,491,8,2023-12-05 10:23:36.036454,414.010531938277
522,84,40,2,2023-10-20 10:23:36.036454,704.994433245536
523,183,464,8,2023-06-15 10:23:36.036454,429.024903836775
524,149,375,8,2024-01-14 10:23:36.036454,229.851372054973
525,259,212,1,2023-11-21 10:23:36.036454,976.860606091048
526,116,12,2,2024-04-09 10:23:36.036454,902.038787464237
527,14,476,5,2024-05-15 10:23:36.036454,845.852297559052
528,62,129,5,2024-03-31 10:23:36.036454,869.783912975857
529,56,327,7,2023-05-22 10:23:36.036454,315.540785520627
530,130,442,1,2023-09-16 10:23:36.036454,452.151043618321
531,16,419,8,2024-01-18 10:23:36.036454,794.817771275791
532,92,217,2,2023-07-27 10:23:36.036454,341.959579585312
533,163,59,6,2023-09-11 10:23:36.036454,307.545313770395
534,105,96,5,2024-01-29 10:23:36.036454,703.994332795584
535,8,131,1,2023-07-24 10:23:36.036454,500.275581553391
536,183,152,8,2023-10-12 10:23:36.036454,309.439369643172
537,268,258,8,2023-06-16 10:23:36.036454,515.468046675248
538,277,428,4,2024-01-06 10:23:36.036454,225.644140630261
539,273,122,3,2024-03-29 10:23:36.036454,884.50223473484
540,244,400,2,2023-05-25 10:23:36.036454,270.996690460214
541,178,188,9,2023-09-15 10:23:36.036454,483.154346896926
542,228,237,1,2023-08-08 10:23:36.036454,696.362202024994
543,103,381,1,2023-07-16 10:23:36.036454,187.641989194311
544,249,219,2,2023-08-06 10:23:36.036454,722.875729838276
545,131,374,9,2023-11-11 10:23:36.036454,97.0416773306673
546,129,390,7,2023-07-16 10:23:36.036454,713.645840297011
547,219,139,6,2023-08-30 10:23:36.036454,521.782738560149
548,221,336,6,2023-06-15 10:23:36.036454,903.842833814941
549,18,303,8,2023-11-08 10:23:36.036454,663.413446051062
550,33,455,6,2024-04-30 10:23:36.036454,444.878905097834
551,117,340,8,2023-07-18 10:23:36.036454,62.7838067086037
552,217,137,9,2024-03-27 10:23:36.036454,485.062692474304
553,204,204,2,2023-07-24 10:23:36.036454,414.710866131727
554,258,10,6,2023-06-27 10:23:36.036454,469.69145180121
555,282,208,9,2024-04-01 10:23:36.036454,625.307273179578
556,140,65,2,2023-08-01 10:23:36.036454,900.263216350967
557,172,134,8,2024-04-03 10:23:36.036454,17.8922097005633
558,171,300,7,2024-03-22 10:23:36.036454,112.378085501483
559,156,488,6,2024-01-20 10:23:36.036454,573.170777220867
302,158,106,3,2024-05-04 10:23:36.036454,815.794655274803
303,39,352,3,2023-11-06 10:23:36.036454,263.175510978698
304,98,174,9,2023-07-03 10:23:36.036454,287.644992528707
305,287,406,4,2024-04-27 10:23:36.036454,429.159536730819
306,105,399,1,2024-02-10 10:23:36.036454,712.608761381819
307,186,104,5,2024-02-18 10:23:36.036454,744.292814205699
308,122,350,9,2024-05-14 10:23:36.036454,579.001578318561
309,14,252,1,2024-03-09 10:23:36.036454,610.644953345485
310,256,415,2,2023-07-02 10:23:36.036454,79.7962328289185
311,48,398,2,2024-05-04 10:23:36.036454,437.247659505516
312,29,46,9,2024-01-21 10:23:36.036454,248.297959931009
313,32,387,6,2024-02-29 10:23:36.036454,923.217404714042
314,281,130,3,2023-10-31 10:23:36.036454,290.209905645002
315,143,234,7,2023-12-08 10:23:36.036454,372.079032771047
316,228,16,8,2024-05-16 10:23:36.036454,249.450214351387
317,295,58,7,2023-08-03 10:23:36.036454,102.626509284035
318,243,330,3,2023-09-18 10:23:36.036454,790.928111111404
319,220,94,7,2023-09-17 10:23:36.036454,888.497483227932
320,71,70,2,2023-11-27 10:23:36.036454,59.4634047750239
321,270,294,6,2024-02-15 10:23:36.036454,303.258609003223
322,53,187,8,2023-07-05 10:23:36.036454,961.59647810562
323,268,189,1,2023-07-31 10:23:36.036454,769.536561184732
324,227,295,9,2023-10-27 10:23:36.036454,699.696875514973
325,127,17,5,2023-10-03 10:23:36.036454,809.987662629161
326,20,351,7,2024-02-02 10:23:36.036454,161.20381067482
327,184,315,5,2023-10-02 10:23:36.036454,439.832809774618
328,35,435,8,2023-07-08 10:23:36.036454,298.225862541212
329,255,4,2,2024-01-08 10:23:36.036454,138.154062354971
330,22,211,4,2023-08-16 10:23:36.036454,402.658052714126
331,230,168,5,2023-10-09 10:23:36.036454,480.062427715839
332,182,324,4,2024-03-22 10:23:36.036454,344.936256234193
333,253,51,9,2023-12-30 10:23:36.036454,507.603131507843
334,278,457,1,2023-06-21 10:23:36.036454,972.491758380392
335,97,154,9,2023-09-01 10:23:36.036454,751.988587105893
336,210,234,6,2023-12-01 10:23:36.036454,555.053583829164
337,114,94,7,2023-12-01 10:23:36.036454,821.913841876615
338,297,11,7,2024-02-16 10:23:36.036454,546.803114965074
339,173,405,3,2024-01-12 10:23:36.036454,775.090935171588
340,60,229,2,2023-11-29 10:23:36.036454,961.205333184155
341,76,288,8,2023-09-15 10:23:36.036454,41.7606186224931
342,132,218,6,2023-08-14 10:23:36.036454,479.364574669728
343,86,200,6,2023-10-01 10:23:36.036454,764.68141106924
344,61,418,3,2023-06-17 10:23:36.036454,250.996602250676
345,49,127,5,2024-04-02 10:23:36.036454,881.117032402802
346,245,187,5,2023-06-14 10:23:36.036454,452.796195474865
347,243,169,9,2023-11-28 10:23:36.036454,822.58264928775
348,58,340,8,2023-08-30 10:23:36.036454,633.292922540598
349,175,151,3,2024-01-08 10:23:36.036454,510.496238098607
350,189,486,6,2024-04-19 10:23:36.036454,170.690654519926
351,201,439,3,2023-11-16 10:23:36.036454,359.920264237923
352,62,382,8,2023-10-16 10:23:36.036454,129.511362122671
353,244,451,3,2023-06-28 10:23:36.036454,365.192946939745
354,268,254,2,2024-05-08 10:23:36.036454,72.1228752645066
355,108,211,8,2023-08-17 10:23:36.036454,181.425516113021
356,123,388,4,2024-03-18 10:23:36.036454,491.230897913948
357,164,477,9,2024-04-03 10:23:36.036454,880.872103424413
358,22,201,4,2024-01-26 10:23:36.036454,567.487402490088
359,56,15,2,2023-09-30 10:23:36.036454,314.506669376912
360,219,257,9,2024-03-26 10:23:36.036454,258.43090695706
361,274,462,2,2024-03-21 10:23:36.036454,928.384219963328
362,193,444,1,2023-08-14 10:23:36.036454,387.168980616625
363,149,483,9,2023-05-23 10:23:36.036454,50.2793000602248
364,250,472,8,2023-12-22 10:23:36.036454,251.484573206588
365,172,100,1,2024-03-18 10:23:36.036454,923.900071617669
366,143,487,7,2023-11-26 10:23:36.036454,497.977900819959
367,106,376,6,2023-12-16 10:23:36.036454,190.390820029248
368,186,65,6,2023-10-03 10:23:36.036454,825.190085947798
369,168,167,2,2023-10-11 10:23:36.036454,227.37809607267
370,42,480,1,2023-08-12 10:23:36.036454,60.4799138983503
371,21,486,5,2024-04-09 10:23:36.036454,285.009141430046
372,129,155,3,2023-09-06 10:23:36.036454,392.851545492161
373,113,383,8,2024-02-18 10:23:36.036454,584.118674479055
374,22,401,3,2023-10-31 10:23:36.036454,653.572846363272
375,24,230,9,2023-09-03 10:23:36.036454,579.46827733904
376,235,83,8,2024-02-12 10:23:36.036454,596.347510922035
377,90,1,8,2024-03-10 10:23:36.036454,919.069541635999
378,36,74,3,2023-06-08 10:23:36.036454,778.645385144515
379,70,442,2,2024-01-29 10:23:36.036454,670.720113044809
380,181,151,9,2024-05-13 10:23:36.036454,963.037237342722
381,100,41,2,2024-02-10 10:23:36.036454,28.966170687681
382,68,119,7,2023-11-22 10:23:36.036454,170.687606237166
383,283,102,7,2023-08-26 10:23:36.036454,205.004596122877
384,277,46,1,2023-07-19 10:23:36.036454,628.200905055489
