src_service,dst_service,call_count,avg_latency_ms
load-generator,flagd,37,0.551
frontend,product-catalog,219,4.082
frontend,cart,106,1.636
cart,flagd,37,0.31
frontend,recommendation,18,12.069
checkout,shipping,20,3.609
checkout,product-catalog,26,0.748
checkout,payment,12,3.676
checkout,currency,35,1.104
checkout,email,13,11.459
frontend,checkout,13,60.2
recommendation,product-catalog,17,3.134
ad,flagd,2,599997.742
checkout,cart,26,1.994
frontend,product-reviews,18,32.369
product-reviews,flagd,1,600005.518
fraud-detection,flagd,2,599994.346
