id,from_com_id,to_com_id,req_time,res_time,status,err_msg,parent_id,history_id
1,158,30,2024-05-20T22:33:00.078,2024-05-20T22:33:05.078,error,Connection refused,0,295
2,609,674,2024-05-23T03:18:45.079,2024-05-23T03:18:45.079,error,Connection refused,0,6734
3,884,50,2024-04-27T15:52:20.079,2024-04-27T15:52:22.079,error,Timeout,2,492
4,561,975,2024-05-04T01:25:14.079,2024-05-04T01:25:14.079,error,Connection refused,1,9744
5,989,790,2024-04-26T00:46:57.079,2024-04-26T00:46:57.079,success,,1,7893
6,398,799,2024-05-11T04:55:56.079,2024-05-11T04:56:01.079,success,,0,7985
7,503,821,2024-05-10T04:00:58.079,2024-05-10T04:01:03.079,success,,2,8202
8,853,377,2024-05-07T08:01:46.080,2024-05-07T08:01:49.080,error,Connection refused,7,3765
9,577,615,2024-05-10T12:01:18.080,2024-05-10T12:01:21.080,error,Internal server error,2,6147
10,646,437,2024-05-21T13:50:03.080,2024-05-21T13:50:07.080,error,Connection refused,3,4363
11,954,508,2024-05-06T16:23:06.080,2024-05-06T16:23:11.080,success,,4,5078
12,448,82,2024-04-23T21:55:02.080,2024-04-23T21:55:04.080,success,,2,815
13,862,255,2024-05-06T23:44:00.080,2024-05-06T23:44:02.080,success,,8,2542
14,940,47,2024-05-07T11:23:16.080,2024-05-07T11:23:20.080,error,Connection refused,1,468
15,677,738,2024-05-05T06:04:52.081,2024-05-05T06:04:54.081,error,Internal server error,1,7379
16,17,117,2024-04-29T22:27:13.081,2024-04-29T22:27:14.081,success,,12,1161
17,86,427,2024-04-25T04:28:10.081,2024-04-25T04:28:12.081,error,Internal server error,14,4270
18,828,272,2024-05-13T08:29:28.081,2024-05-13T08:29:29.081,success,,2,2720
19,266,893,2024-05-02T11:26:07.081,2024-05-02T11:26:10.081,success,,0,8927
20,120,14,2024-05-17T15:25:46.081,2024-05-17T15:25:49.081,error,Internal server error,12,140
21,744,499,2024-05-13T16:47:16.081,2024-05-13T16:47:20.081,error,Internal server error,12,4985
22,90,129,2024-05-19T14:48:05.081,2024-05-19T14:48:06.081,success,,0,1284
23,880,28,2024-05-16T21:47:23.081,2024-05-16T21:47:28.081,success,,20,274
24,447,863,2024-05-02T19:41:50.082,2024-05-02T19:41:51.082,success,,9,8628
25,152,486,2024-05-10T14:30:44.082,2024-05-10T14:30:44.082,success,,4,4858
26,987,497,2024-05-08T14:35:31.082,2024-05-08T14:35:34.082,success,,6,4965
27,584,850,2024-04-27T01:02:38.082,2024-04-27T01:02:38.082,error,Timeout,3,8497
28,426,869,2024-05-07T18:14:17.082,2024-05-07T18:14:21.082,error,Timeout,15,8687
29,498,526,2024-05-04T17:02:34.082,2024-05-04T17:02:39.082,error,Timeout,22,5251
30,541,20,2024-05-09T18:19:13.082,2024-05-09T18:19:15.082,success,,8,197
31,911,485,2024-05-19T21:17:31.082,2024-05-19T21:17:35.082,error,Connection refused,22,4847
32,22,166,2024-05-14T08:18:31.082,2024-05-14T08:18:34.082,error,Connection refused,14,1659
33,225,602,2024-04-24T02:57:30.083,2024-04-24T02:57:34.083,error,Timeout,18,6017
34,983,427,2024-04-26T15:32:59.083,2024-04-26T15:33:04.083,error,Connection refused,10,4270
35,213,290,2024-05-01T12:10:06.083,2024-05-01T12:10:11.083,error,Timeout,11,2894
36,161,621,2024-05-08T11:37:58.083,2024-05-08T11:38:01.083,error,Connection refused,15,6204
